id,company_id,material_id,final_price,is_active,notes,created_at,updated_at
cpr_rehydrated_958cafe4c7f71b80fa86634deea7c63c,co_1782160320540728,ca_comercial_carton,1.3500,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_21128d4a8b1c1fcc0cf385cf18bb1589,cp_import_ks,ca_comercial_madera,0.3000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
pr_1782420723829654,cp_import_miguel_sanchez,ca_comercial_carton,1.7000,t,,"2026-06-25 20:52:04.945079+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_644f04cd7cd23e8455092e952679c4fe,cp_import_monroe,ca_comercial_basura,0.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_2d8ad369dcfbcebdbecc32f76b9fa900,cp_import_monroe,ca_comercial_carton,1.4000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_2514b950c2954fc4016e4c4e3f4651df,cp_import_monroe,ca_comercial_cobre,25.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_38bd3b82fd3bf07703b6c710b84b5eac,cp_import_monroe,ca_comercial_lena,0.3500,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_d9dc9f30d607eac16b5e5aa21e705afa,cp_import_monroe,ca_comercial_plastico,2.2500,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_497dbf3c98ff30739bc17b4dd98a6a0a,cp_import_monroe,ca_comercial_rebaba,2.2100,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_4cca8a28806df2ad62e2672a0037c8b0,cp_import_monroe,ca_comercial_tarimas,13.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_a2d08d7eee02cf2ddc5cb8340904cfcd,cp_import_recicla_metal,ca_comercial_carton_recogido,1.4000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_b8292ea9dc4c0fe029345227f5bb5822,cp_import_rodolfo_vera,ca_comercial_chatarra,4.1000,t,"BAJA 04/07/2026 PALOMAR","2026-06-24 23:02:02.677397+00","2026-07-03 18:01:13.783618+00"
cpr_rehydrated_2a658817092e2e583fb1ff69a97253cd,cp_import_rocio_carvajal,ca_comercial_carton,1.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_bf23c40422c0ac4ca19137a38d953afe,cp_import_rodolfo_vera,ca_comercial_carton_recogido,1.4000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_78808bee799b278a0f3c9e657f0ef8c5,cp_import_setexmes,ca_comercial_basura,0.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_8a03322a62248b205f8a0cb8f1cac90d,cp_import_setexmes,ca_comercial_carton,0.9000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_7be2dc6d4d7f4948b440ec7158ec0bbc,cp_import_setexmes,ca_comercial_chatarra,2.3000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_b66557b8dfc23f5431d59e61bedffe04,cp_import_setexmes,ca_comercial_plastico,1.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_142bb96eb11219f09aa5b314f63a68d1,cp_import_setexmes,ca_comercial_tarima,5.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_3124424898a05e56668790fdfd64b731,cp_import_tenneco,ca_comercial_chatarra,3.2900,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_4afbb661a0ebee24bdc39a5063f322d8,cp_import_victor_garcia,ca_comercial_carton_strokpack,1.3000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_ddbd28ea83e81717185dd9e58f89e6d6,cp_import_whirlpool,ca_comercial_carton,0.4000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_3623b088765dd7ad8ec20b9a6f24aa22,cp_import_whirlpool,ca_comercial_charola_pet,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_a548790cea981360557014858b597452,cp_import_whirlpool,ca_comercial_madera_tarimas_120_x_100,0.4500,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_c43f384b821fa8fba603e9b2f7c0f819,cp_import_whirlpool,ca_comercial_pedaceria_madera,0.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_e7bf52e108dee9e7de5fb17d192c69ad,cp_import_whirlpool,ca_comercial_poliestireno_rigido_plastico_rigido,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_aaaba09e07cd0424839159c8016993d3,cp_import_whirlpool,ca_comercial_polietileno,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_d8ccb949779abb772ac087424e27e488,cp_import_whirlpool,ca_comercial_polietileno_de_baja_densidad_polifoam,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_adfca749362b96471c2ce0061480c87a,cp_import_whirlpool,ca_comercial_unicel,0.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_10ce1451831163e123d125d57f4b03f4,cp_import_yorozu,ca_comercial_acero,2.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_a5109c837007f1d1e317e97240246bb4,cp_import_yorozu,ca_comercial_aluminio,15.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_5e9b99d3b701966cf21e63bc59624ee1,cp_import_yorozu,ca_comercial_carton,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_05bdf32345514643fce63767dcc9a287,cp_import_yorozu,ca_comercial_madera,0.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_01d22a48a1a242c370e6c44a72f95331,cp_import_yorozu,ca_comercial_plastico,1.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_42faddb340617fe94b75e5fe3b59cda6,cp_import_migavid,ca_comercial_chatarra,2.6500,t,"BAJA 04/07/2026 PALOMAR","2026-06-24 23:02:02.677397+00","2026-07-03 18:01:44.961541+00"
cpr_rehydrated_8cb796bbbb75719b39444399ba3a1fe0,cp_import_migavid,ca_comercial_rebaba,2.7500,t,"BAJA 04/07/2026 PALOMAR","2026-06-24 23:02:02.677397+00","2026-07-03 18:02:54.893963+00"
cpr_rehydrated_bb75b1b318ec17edf484e2535a1d5bf4,cp_import_adolfo_gutierrez,ca_comercial_plastico,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_d342d809d9bd27f300520f4d1b94d6ed,cp_import_avon,ca_comercial_acero_inoxidable,8.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_dfda08cac39e31f31b99361f7b66099e,cp_import_avon,ca_comercial_bond,1.2000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_ec1bd54857a9a105b7dbd1a97d38b279,cp_import_avon,ca_comercial_caple_cajilla,0.7000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_e988f6570211ffa91270110c3c9f6b88,cp_import_avon,ca_comercial_chatarra,2.8000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_5f3963a813530eb28c37ded8bb9c34b7,cp_import_avon,ca_comercial_corrugado_carton,1.2000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_f93613b4b9b0313d7cc48bdecc972f02,cp_import_avon,ca_comercial_filtros_de_celulosa,0.5000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_e13d6c6696023d7a1a905c142f428860,cp_import_avon,ca_comercial_folleto,0.7000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_c97b131ff37b08798812f466c5b9cf36,cp_import_avon,ca_comercial_pedaceria_madera,0.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_b41c0da2582bdb07d42a8316ed5eed17,cp_import_avon,ca_comercial_plastico_mixto,1.2000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_f57ae4522bac79f4ac203a6862eb31d4,cp_import_avon,ca_comercial_sabados_viaje,500.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
cpr_rehydrated_b6b3e494b80aede8fbf04497de4639d5,cp_import_avon,ca_comercial_tarima_madera,1.0000,t,"REHIDRATADO DESDE COMPRAS_TICKETS 2026-06-24 17:02:02","2026-06-24 23:02:02.677397+00","2026-06-27 16:22:31.875382+00"
