id,code,level,name,unit,category,family,general_material_id,is_active,notes,created_at,updated_at
ma_general_carton,CARTON,GENERAL,CARTON,KG,CARTON,,,t,"GENERAL BASE MAYOREO","2026-05-18 21:33:02.396423+00","2026-06-10 17:35:33.212966+00"
ma_general_chatarra,CHATARRA,GENERAL,CHATARRA,KG,CHATARRA,,,t,"GENERAL BASE MAYOREO","2026-05-18 21:33:02.396423+00","2026-06-10 17:35:33.212966+00"
ma_general_madera,MADERA,GENERAL,MADERA,KG,MADERA,,,t,"GENERAL BASE MAYOREO","2026-05-18 21:33:02.396423+00","2026-06-10 17:35:33.212966+00"
ma_general_metal,METAL,GENERAL,METAL,KG,METAL,,,t,"GENERAL BASE MAYOREO","2026-05-18 21:33:02.396423+00","2026-06-10 17:35:33.212966+00"
ca_general_otros,OTROS,GENERAL,OTROS,KG,OTROS,,,t,"GENERAL BASE MAYOREO","2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ma_general_papel,PAPEL,GENERAL,PAPEL,KG,PAPEL,,,t,"GENERAL BASE MAYOREO","2026-05-18 21:33:02.396423+00","2026-06-10 17:35:33.212966+00"
ma_general_plastico,PLASTICO,GENERAL,PLASTICO,KG,PLASTICO,,,t,"GENERAL BASE MAYOREO","2026-05-18 21:33:02.396423+00","2026-06-10 17:35:33.212966+00"
ca_general_textil,TEXTIL,GENERAL,TEXTIL,KG,TEXTIL,,,t,"GENERAL BASE MAYOREO","2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_general_vidrio,VIDRIO,GENERAL,VIDRIO,KG,VIDRIO,,,t,"GENERAL BASE MAYOREO","2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_tambos_de_carton,TAMBOS_DE_CARTON,COMERCIAL,"TAMBOS DE CARTON",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_pacas_de_carton,PACAS_DE_CARTON,COMERCIAL,"PACAS DE CARTON",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_paca_de_carton,PACA_DE_CARTON,COMERCIAL,"PACA DE CARTON",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_corrugado_carton,CORRUGADO_CARTON,COMERCIAL,"CORRUGADO CARTON",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_carton_strokpack,CARTON_STROKPACK,COMERCIAL,"CARTON STROKPACK",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_carton_recogido,CARTON_RECOGIDO,COMERCIAL,"CARTON RECOGIDO",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_lena,LENA,COMERCIAL,LENA,KG,OTROS,OTROS,ca_general_otros,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_carton_nacional,CARTON_NACIONAL,COMERCIAL,"CARTON NACIONAL",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_carton_fortaleza,CARTON_FORTALEZA,COMERCIAL,"CARTON FORTALEZA",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_carton_coresba,CARTON_CORESBA,COMERCIAL,"CARTON CORESBA",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_carton,CARTON,COMERCIAL,CARTON,KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_maquinaria_chatarra,MAQUINARIA_CHATARRA,COMERCIAL,"MAQUINARIA CHATARRA",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_victor_garcia,CHATARRA_VICTOR_GARCIA,COMERCIAL,"CHATARRA VICTOR GARCIA",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_tresguerras,CHATARRA_TRESGUERRAS,COMERCIAL,"CHATARRA TRESGUERRAS",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_mixto,CHATARRA_MIXTO,COMERCIAL,"CHATARRA MIXTO",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_general,CHATARRA_GENERAL,COMERCIAL,"CHATARRA GENERAL",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_ferrebaztan,CHATARRA_FERREBAZTAN,COMERCIAL,"CHATARRA FERREBAZTAN",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_coresba,CHATARRA_CORESBA,COMERCIAL,"CHATARRA CORESBA",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_carrocerias_halcon,CHATARRA_CARROCERIAS_HALCON,COMERCIAL,"CHATARRA CARROCERIAS HALCON",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra_agroquimicos,CHATARRA_AGROQUIMICOS,COMERCIAL,"CHATARRA AGROQUIMICOS",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_chatarra,CHATARRA,COMERCIAL,CHATARRA,KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_tarimas,TARIMAS,COMERCIAL,TARIMAS,KG,MADERA,MADERA,ma_general_madera,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_tarima_madera,TARIMA_MADERA,COMERCIAL,"TARIMA MADERA",KG,MADERA,MADERA,ma_general_madera,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
ca_comercial_tarima,TARIMA,COMERCIAL,TARIMA,KG,MADERA,MADERA,ma_general_madera,t,,"2026-06-10 17:35:33.212966+00","2026-06-10 17:35:33.212966+00"
