id,company_id,material_id,final_price,is_active,notes,created_at,updated_at
pr_1777913073250719,co_1777913056818313,ma_comercial_servicio_de_recoleccion_de_basura,1.0000,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-05-04 16:44:33.721727+00","2026-07-08 16:41:50.346087+00"
pr_1779474355208476,co_1779474112176185,ma_comercial_carton_celanese,3.8000,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-05-22 18:25:56.823703+00","2026-07-08 16:41:50.346087+00"
pr_1781127197329697,co_1779474112176185,ma_comercial_carton_nacional,2.1500,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-06-10 21:33:18.029173+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_chatarra,co_seed_desperdicios_queretana,ma_comercial_chatarra,5.6500,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_flete,co_seed_desperdicios_queretana,ma_comercial_flete,0.3500,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_placa_y_estructura,co_seed_desperdicios_queretana,ma_comercial_placa_y_estructura,5.4700,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_rebaba,co_seed_desperdicios_queretana,ma_comercial_rebaba,4.7700,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_cristo_rebaba,co_seed_desperdicios_queretana_cristo,ma_comercial_rebaba,4.7000,t,"BAJA .40 EL 24/06/2026 ELVIRA","2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_dicdi_proyectos_basura,co_seed_dicdi_proyectos,ma_comercial_basura,1.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_acero,co_seed_el_palomar,ma_comercial_acero,1.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_carton_nacional,co_seed_el_palomar,ma_comercial_carton_nacional,2.7000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_chatarra,co_seed_el_palomar,ma_comercial_chatarra,4.2000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_mixto,co_seed_el_palomar,ma_comercial_mixto,5.1000,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_pesado,co_seed_el_palomar,ma_comercial_pesado,5.2000,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_placa_y_estructura,co_seed_el_palomar,ma_comercial_placa_y_estructura,5.5000,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_rebaba,co_seed_el_palomar,ma_comercial_rebaba,4.3000,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_fanosa_unicel,co_seed_fanosa,ma_comercial_unicel,1.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_raqsa_aluminio_blando,co_seed_raqsa,ma_comercial_aluminio_blando,34.0000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_raqsa_radiador_punta_de_cobre,co_seed_raqsa,ma_comercial_radiador_punta_de_cobre,72.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
mp_recovered_364df78908643f85d0aedf497f86da6d,co_seed_ricardo_garcia_mendieta,ma_comercial_carton_nacional,2.2000,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-06-10 21:49:45.029852+00","2026-07-08 16:41:50.346087+00"
pr_1782492103630901,co_seed_ricardo_garcia_mendieta,ma_comercial_ordinario_de_primera,2.8000,t,,"2026-06-26 16:41:44.197884+00","2026-07-08 16:41:50.346087+00"
pr_1782489152870092,co_seed_ricardo_garcia_mendieta,ma_comercial_placa_y_estructura,7.0000,t,,"2026-06-26 15:52:33.307092+00","2026-07-08 16:41:50.346087+00"
pr_servin_acero,co_seed_servin,ma_comercial_acero,20.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_servin_rin_chico,co_seed_servin,ma_comercial_rin_chico,52.0000,f,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_setex_servicio_de_recoleccion_de_basura,co_seed_setex,ma_comercial_servicio_de_recoleccion_de_basura,1.0000,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_retorno_industrial,co_seed_el_palomar,ma_comercial_retorno_industrial,5.9000,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_retorno_industrial_alto_residual,co_seed_el_palomar,ma_comercial_retorno_industrial_alto_residual,5.3000,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_retorno_industrial_para_procesar,co_seed_el_palomar,ma_comercial_retorno_industrial_para_procesar,5.7500,t,"BAJA .20 CENTAVOS EL 4/07/26","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_guadalajara_placa_y_estructura,co_seed_el_palomar_guadalajara,ma_comercial_placa_y_estructura,4.8000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_fernando_rubio_madera,co_seed_fernando_rubio,ma_comercial_madera,1.6500,f,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_grupak_carton_nacional,co_seed_grupak,ma_comercial_carton_nacional,2.0000,t,"baja .20 el 6/02/26-BAJA EL 28/02/26-baja .10 el 10/04/26","2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_acero,co_seed_ignacio_melgoza,ma_comercial_acero,14.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_aluminio_blando,co_seed_ignacio_melgoza,ma_comercial_aluminio_blando,31.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_bote_aluminio,co_seed_ignacio_melgoza,ma_comercial_bote_aluminio,34.5000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_bronce,co_seed_ignacio_melgoza,ma_comercial_bronce,128.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_cobre_1era,co_seed_ignacio_melgoza,ma_comercial_cobre_1era,173.0000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_cobre_2da,co_seed_ignacio_melgoza,ma_comercial_cobre_2da,182.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_perfil_con_pintura,co_seed_ignacio_melgoza,ma_comercial_perfil_con_pintura,50.0000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_radiador_de_aluminio,co_seed_ignacio_melgoza,ma_comercial_radiador_de_aluminio,30.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_radiador_punta_de_cobre,co_seed_ignacio_melgoza,ma_comercial_radiador_punta_de_cobre,93.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_ignacio_melgoza_tubo,co_seed_ignacio_melgoza,ma_comercial_tubo,31.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_jaime_velazquez_flete,co_seed_jaime_velazquez,ma_comercial_flete,1.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_jaime_velazquez_folleto,co_seed_jaime_velazquez,ma_comercial_folleto,2.5500,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_jose_rodriguez_rebaba,co_seed_jose_rodriguez,ma_comercial_rebaba,4.2000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_majose_yair_placa_y_estructura_larga,co_seed_majose_yair,ma_comercial_placa_y_estructura_larga,5.2000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_majose_yair_rebaba,co_seed_majose_yair,ma_comercial_rebaba,4.6000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_monroe_mexico_servicio_de_recoleccion_de_basura,co_seed_monroe_mexico,ma_comercial_servicio_de_recoleccion_de_basura,1.0000,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_raqsa_placa_de_aluminio,co_seed_raqsa,ma_comercial_placa_de_aluminio,25.0000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_raqsa_radiador_de_aluminio,co_seed_raqsa,ma_comercial_radiador_de_aluminio,28.0000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_sra_rita_tarimas,co_seed_sra_rita,ma_comercial_tarimas,35.0000,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.346087+00"
pr_bio_pappel_ordinario_de_primera_entregado,co_seed_bio_pappel,ma_comercial_ordinario_de_primera_entregado,3.2000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_bio_pappel_ordinario_de_primera_recogido,co_seed_bio_pappel,ma_comercial_ordinario_de_primera_recogido,2.2000,t,"RECUPERADO DESDE SNAPSHOT DE REPORTES MAYOREO 2026-06-10 15:49:45","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_bio_pappel_papel_archivo,co_seed_bio_pappel,ma_comercial_papel_archivo,5.5000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_bio_pappel_papel_revuelto,co_seed_bio_pappel,ma_comercial_papel_revuelto,3.0000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_bote,co_seed_desperdicios_queretana,ma_comercial_bote,4.3700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_mixto,co_seed_desperdicios_queretana,ma_comercial_mixto,4.9700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_mixto_para_procesar,co_seed_desperdicios_queretana,ma_comercial_mixto_para_procesar,4.8700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_paca_de_primera,co_seed_desperdicios_queretana,ma_comercial_paca_de_primera,5.7700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_paca_de_segunda,co_seed_desperdicios_queretana,ma_comercial_paca_de_segunda,3.3700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_pesado,co_seed_desperdicios_queretana,ma_comercial_pesado,5.0700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_pesado_largo,co_seed_desperdicios_queretana,ma_comercial_pesado_largo,4.9700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_placa_y_estructura_larga,co_seed_desperdicios_queretana,ma_comercial_placa_y_estructura_larga,5.2700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_retorno_industrial,co_seed_desperdicios_queretana,ma_comercial_retorno_industrial,5.7700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_retorno_industrial_alto_residual,co_seed_desperdicios_queretana,ma_comercial_retorno_industrial_alto_residual,5.1700,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_desperdicios_queretana_retorno_industrial_para_procesar,co_seed_desperdicios_queretana,ma_comercial_retorno_industrial_para_procesar,5.6200,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
pr_el_palomar_mixto_paca,co_seed_el_palomar,ma_comercial_mixto_paca,5.1000,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.346087+00"
