id,code,level,name,unit,category,family,general_material_id,is_active,notes,created_at,updated_at
ma_comercial_acero,ACERO,COMERCIAL,ACERO,KG,METAL,METAL,ma_general_metal,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_basura,BASURA,COMERCIAL,BASURA,KG,OTROS,OTROS,ma_general_otros,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_bote_aluminio,BOTE_ALUMINIO,COMERCIAL,"BOTE ALUMINIO",KG,METAL,METAL,ma_general_metal,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_carton_nacional,CARTON_NACIONAL,COMERCIAL,"CARTON NACIONAL",KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_chatarra,CHATARRA,COMERCIAL,CHATARRA,KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_cobre_2da,COBRE_2DA,COMERCIAL,"COBRE 2DA",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_cobre_candy,COBRE_CANDY,COMERCIAL,"COBRE CANDY",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_cobre_de_primera,COBRE_DE_PRIMERA,COMERCIAL,"COBRE DE PRIMERA",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_cobre_de_segunda,COBRE_DE_SEGUNDA,COMERCIAL,"COBRE DE SEGUNDA",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_fierro_vaciado,FIERRO_VACIADO,COMERCIAL,"FIERRO VACIADO",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_flete,FLETE,COMERCIAL,FLETE,KG,OTROS,OTROS,ma_general_otros,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_folleto,FOLLETO,COMERCIAL,FOLLETO,KG,PAPEL,PAPEL,ma_general_papel,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_garrafa,GARRAFA,COMERCIAL,GARRAFA,KG,PLASTICO,PLASTICO,ma_general_plastico,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_lena,LENA,COMERCIAL,LENA,KG,MADERA,MADERA,ma_general_madera,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_madera,MADERA,COMERCIAL,MADERA,KG,MADERA,MADERA,ma_general_madera,f,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_mixto_para_procesar,MIXTO_PARA_PROCESAR,COMERCIAL,"MIXTO PARA PROCESAR",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_ordinario_de_primera,ORDINARIO_DE_PRIMERA,COMERCIAL,"ORDINARIO DE PRIMERA",KG,CARTON,CARTON,ma_general_carton,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_ordinario_de_primera_entregado,ORDINARIO_DE_PRIMERA_ENTREGADO,COMERCIAL,"ORDINARIO DE PRIMERA ENTREGADO",KG,CARTON,CARTON,ma_general_carton,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_ordinario_de_primera_recogido,ORDINARIO_DE_PRIMERA_RECOGIDO,COMERCIAL,"ORDINARIO DE PRIMERA RECOGIDO",KG,CARTON,CARTON,ma_general_carton,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_plastico_duro,PLASTICO_DURO,COMERCIAL,"PLASTICO DURO",KG,PLASTICO,PLASTICO,ma_general_plastico,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_general_otros,OTROS,GENERAL,OTROS,KG,OTROS,,,t,"GENERAL BASE MAYOREO","2026-06-18 14:32:01.339691+00","2026-07-08 16:41:50.181939+00"
ma_general_textil,TEXTIL,GENERAL,TEXTIL,KG,TEXTIL,,,t,"GENERAL BASE MAYOREO","2026-06-18 14:32:01.339691+00","2026-07-08 16:41:50.181939+00"
ma_general_vidrio,VIDRIO,GENERAL,VIDRIO,KG,VIDRIO,,,t,"GENERAL BASE MAYOREO","2026-06-18 14:32:01.339691+00","2026-07-08 16:41:50.181939+00"
ma_comercial_caple,CAPLE,COMERCIAL,CAPLE,KG,CARTON,CARTON,ma_general_carton,t,,"2026-06-10 21:20:26.722563+00","2026-07-08 16:41:50.181939+00"
ma_comercial_radiador_de_aluminio,RADIADOR_DE_ALUMINIO,COMERCIAL,"RADIADOR DE ALUMINIO",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_radiador_punta_de_cobre,RADIADOR_PUNTA_DE_COBRE,COMERCIAL,"RADIADOR PUNTA DE COBRE",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_retorno_industrial,RETORNO_INDUSTRIAL,COMERCIAL,"RETORNO INDUSTRIAL",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_retorno_industrial_alto_residual,RETORNO_INDUSTRIAL_ALTO_RESIDUAL,COMERCIAL,"RETORNO INDUSTRIAL ALTO RESIDUAL",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_retorno_industrial_especial,RETORNO_INDUSTRIAL_ESPECIAL,COMERCIAL,"RETORNO INDUSTRIAL ESPECIAL",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_retorno_industrial_para_procesar,RETORNO_INDUSTRIAL_PARA_PROCESAR,COMERCIAL,"RETORNO INDUSTRIAL PARA PROCESAR",KG,CHATARRA,CHATARRA,ma_general_chatarra,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_rin_chico,RIN_CHICO,COMERCIAL,"RIN CHICO",KG,CHATARRA,CHATARRA,ma_general_chatarra,f,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_rin_grande,RIN_GRANDE,COMERCIAL,"RIN GRANDE",KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_servicio_de_recoleccion_de_basura,SERVICIO_DE_RECOLECCION_DE_BASURA,COMERCIAL,"SERVICIO DE RECOLECCION DE BASURA",KG,OTROS,OTROS,ma_general_otros,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_spray,SPRAY,COMERCIAL,SPRAY,KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_comercial_tubo,TUBO,COMERCIAL,TUBO,KG,METAL,METAL,ma_general_metal,t,,"2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
ma_general_carton,CARTON,GENERAL,CARTON,KG,CARTON,,,t,"GENERAL BASE MAYOREO","2026-04-28 19:25:00.793218+00","2026-07-08 16:41:50.181939+00"
