"id","cliente","tipo","recovery_type","confidence","current_status","recovered_status","approved_amount","current_paid_amount","recovered_paid_amount","current_document_number","recovered_document_number","current_settlement_date","recovered_settlement_date","evidence"
"sale-report-1777415680528393","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","68076.00","0.00","68076.00","","","","2026-04-28T17:31:34.516523Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777415680528393"
"sale-report-1777494177291470","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","79668.00","0.00","79668.00","","","","2026-04-28T00:00:00.000Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777494177291470"
"sale-report-1777494223851293","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","78422.40","0.00","78422.40","","","","2026-04-28T00:00:00.000Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777494223851293"
"sale-report-1777494295555016","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","86428.00","0.00","86428.00","","","","2026-04-28T00:00:00.000Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777494295555016"
"sale-report-1777494543362992","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","49203.00","0.00","49203.00","","","","2026-04-28T00:00:00.000Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777494543362992"
"sale-report-1777497725625588","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","10000.00","0.00","10000.00","","","","2026-04-29T15:20:58.346758Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777497725625588"
"sale-report-1777562955848107","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","51186.00","0.00","51186.00","","","","2026-04-29T00:00:00.000Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777562955848107"
"sale-report-1777569431271121","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","73896.00","0.00","73896.00","","","","2026-04-29T00:00:00.000Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777569431271121"
"sale-report-1777593034035133","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","51558.00","0.00","51558.00","","","","2026-04-30T17:49:19.734164Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1777593034035133"
"sale-report-1778196967039115","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","63432.00","0.00","63432.00","","","","2026-05-07T17:35:38.093295Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1778196967039115"
"sale-report-1778196993391608","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","63816.00","0.00","63816.00","","","","2026-05-07T17:36:13.936523Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1778196993391608"
"sale-report-1778197029399131","EL PALOMAR","cheque","cheque_canjeado_palomar","high","pendienteCheque","chequeCanjeado","76452.00","0.00","76452.00","","","","2026-05-07T17:36:40.209508Z","mayoreo_palomar_movements:remisionAplicada | source_report_id:sale-report-1778197029399131"
