commercial_material_id,counterparty,counterparty_site_id,created_at,driver_employee_id,flow,general_material_id,gross_kg,humidity_percent,id,inventory_level,movement_reason,net_kg,notes,op_date,origin_type,reference,scale_ticket,site,source_commercial_material_id,tare_kg,total_amount_kg,transformation_run_id,trash_kg,unit_count,updated_at,vehicle_id,weight_kg
,KS,dce8a08e-035e-4a4d-b9fc-df19b19a8e0b,2026-04-24T20:28:32.022449+00:00,a3f2a2db-8804-4ed0-8f2c-4bacdbff67c7,IN,4c7a25df-991f-4443-9269-4e853df6fed3,7595.0,,b9fcc030-4ddc-4a57-b67d-a3f2010cfbe7,GENERAL,,2080.0,,2026-04-24,DIRECT_PURCHASE,0131,,DICSA_CELAYA,1f9d57fb-c379-46df-94f7-f93d82d67843,5515.0,2080.0,,,,2026-04-24T20:28:32.022449+00:00,48adb922-916e-47ae-a45c-cdd21fe98da5,2080.0
,MONROE,bb325824-38ba-4775-99b3-aaf90b945978,2026-04-24T23:00:58.529662+00:00,746fffb9-3606-4aee-81d4-d38dfa2d4951,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,14595.0,,d241b331-570d-4fc7-879e-ec10c9d21dfc,GENERAL,,2120.0,,2026-04-24,DIRECT_PURCHASE,80851,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,12475.0,2120.0,,,,2026-04-24T23:00:58.529662+00:00,f780587b-f464-4ca0-ab88-ceb8f3013a3c,2120.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-24T23:01:20.019835+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,2500.0,,2c28005b-2a76-43a8-b66c-476870c98180,GENERAL,,560.0,,2026-04-24,DIRECT_PURCHASE,80850,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,1940.0,560.0,,,,2026-04-24T23:01:20.019835+00:00,,560.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-27T23:27:57.916997+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,170.0,,128793c3-c02c-4c40-976a-c2c4fb78b29e,GENERAL,,105.0,,2026-04-27,DIRECT_PURCHASE,56457,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,65.0,105.0,,,,2026-04-27T23:27:57.916997+00:00,,105.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-28T21:35:11.198316+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,3005.0,,7f56e04e-fdbf-45e5-8a14-0258bc18bcbd,GENERAL,,685.0,,2026-04-28,DIRECT_PURCHASE,80951,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,2320.0,685.0,,,,2026-04-28T21:35:11.198316+00:00,,685.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-28T23:26:15.31298+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,2570.0,,90295110-1884-4298-8d0f-853c74d88537,GENERAL,,505.0,,2026-04-28,DIRECT_PURCHASE,56494,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,2065.0,505.0,,,,2026-04-28T23:26:15.31298+00:00,,505.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-30T15:15:53.014374+00:00,,IN,a3b39add-83a8-4b9e-92db-242b2b852a40,225.0,,943e4e70-0536-4dc1-a1ce-f0b236bead2a,GENERAL,SCRAP_SEPARATION,225.0,,2026-04-29,TRANSFORMATION,55512,,DICSA_CELAYA,bdd045b4-d94c-4b16-a42c-2f31462ab673,,225.0,,,,2026-04-30T15:15:53.014374+00:00,,225.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-30T15:23:02.58022+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,3225.0,,dceeb793-e6df-40de-8bd5-c91f5801d2a1,GENERAL,,920.0,,2026-04-29,DIRECT_PURCHASE,80984,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,2305.0,920.0,,,,2026-04-30T15:23:02.58022+00:00,,920.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-30T15:28:31.306754+00:00,,IN,a3b39add-83a8-4b9e-92db-242b2b852a40,0.6,,31eb0056-e42f-4f98-aee2-7030aad3ad58,GENERAL,DIRECT_PURCHASE,0.6,,2026-04-29,DIRECT_PURCHASE,55507,,DICSA_CELAYA,f66663c6-8571-42d5-84ca-4547613d9403,,0.6,,,,2026-04-30T15:28:31.306754+00:00,,0.6
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-30T15:33:53.777216+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,14320.0,,dac665d6-94da-4405-84e5-ec34929981d8,GENERAL,,1830.0,,2026-04-29,DIRECT_PURCHASE,80979,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,12490.0,1830.0,,,,2026-04-30T15:33:53.777216+00:00,,1830.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-04T15:37:20.207038+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,200.0,,3f169fdc-8c0d-4b50-af22-38a42adcc2f7,GENERAL,,160.0,,2026-04-30,DIRECT_PURCHASE,55529,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,40.0,160.0,,,,2026-05-04T15:37:20.207038+00:00,,160.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-04T16:02:54.183288+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,135.0,,fbae6810-c3c2-456a-963a-5835f6a5b825,GENERAL,,90.0,,2026-04-30,DIRECT_PURCHASE,55521,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,45.0,90.0,,,,2026-05-04T16:02:54.183288+00:00,,90.0
08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,SAN PABLO,fa6524c2-3338-4a4f-b63a-39503753a11a,2026-05-05T15:55:29.748067+00:00,43da7305-d143-426d-85a1-8bb272b06e81,OUT,,42115.0,,a1117486-2b5d-46e2-901e-005c086d318b,COMMERCIAL,,27315.0,,2026-05-05,SALE,0169,,DICSA_CELAYA,,14800.0,27315.0,,,40,2026-05-05T15:55:29.748067+00:00,,27315.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-05T16:44:39.707174+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,200.0,,0634e847-e627-4384-89b6-51713849f339,GENERAL,,140.0,,2026-05-04,DIRECT_PURCHASE,55556,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,60.0,140.0,,,,2026-05-05T16:44:39.707174+00:00,,140.0
,KS,dce8a08e-035e-4a4d-b9fc-df19b19a8e0b,2026-05-05T18:29:33.464864+00:00,f91d9850-be56-490f-9532-d52c867a7391,IN,ecc6f380-5996-43ba-87b1-d751882974d8,19765.0,,94a05e56-b6d6-4cea-8a75-7ea1892d8680,GENERAL,,1545.0,,2026-05-05,DIRECT_PURCHASE,81090,,DICSA_CELAYA,5804543e-5d39-4f74-8db6-1f7e12796af6,18220.0,1545.0,,,,2026-05-05T18:29:33.464864+00:00,,1545.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-02T14:35:56.858819+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,2240.0,,151d8003-49ad-4190-87b0-e19acb0fd0a0,GENERAL,,355.0,,2026-04-02,DIRECT_PURCHASE,80220,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,1885.0,355.0,,,,2026-04-02T14:35:56.858819+00:00,,355.0
,WHIRLPOOL,2d98327c-6b07-4802-b1ad-0199f225b5f2,2026-05-05T18:30:02.646261+00:00,d3cd1712-599f-4b1b-bba4-0750974d3a32,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,16135.0,,ad23edb0-ab3c-45d4-81e0-fa5498b0bae7,GENERAL,,2625.0,,2026-05-05,DIRECT_PURCHASE,81096,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,13510.0,2625.0,,,,2026-05-05T18:30:02.646261+00:00,,2625.0
,AVON,d0cb9c81-b4d9-4a8a-90b1-6d13b476e6cb,2026-05-05T18:30:46.211314+00:00,9716303d-4015-4514-9bd6-34e6240e1a6d,IN,6a15cf8a-9064-49a4-8795-946591fee553,5940.0,,6d42bb12-79f2-4e7e-b21b-be131bbaba45,GENERAL,,445.0,,2026-05-05,DIRECT_PURCHASE,81094,,DICSA_CELAYA,4c4352b6-79a1-4140-9d70-e3587a5753f4,5495.0,445.0,,,,2026-05-05T18:30:46.211314+00:00,,445.0
08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,BIOPAPEL,7fab202d-4539-44ed-bb15-b789747db1ce,2026-05-06T15:02:15.488464+00:00,,OUT,,39960.0,,89c7510f-2bfe-4fc7-a4f7-26d5e9d361bd,COMMERCIAL,,23440.0,,2026-05-05,SALE,0174,,DICSA_CELAYA,,16520.0,23440.0,,,35,2026-05-06T15:02:15.488464+00:00,,23440.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-06T23:39:39.907166+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,5150.0,,444adbb6-5aa7-48f6-bc8e-cd97d5d56185,GENERAL,,1525.0,,2026-05-06,DIRECT_PURCHASE,81148,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,3625.0,1525.0,,,,2026-05-06T23:39:39.907166+00:00,,1525.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-02T14:37:29.113159+00:00,,IN,a3b39add-83a8-4b9e-92db-242b2b852a40,2.0,,ef6f84e5-8e0c-4495-9245-845e34126c81,GENERAL,DIRECT_PURCHASE,1.0,,2026-04-02,DIRECT_PURCHASE,59986,,DICSA_CELAYA,f66663c6-8571-42d5-84ca-4547613d9403,1.0,1.0,,,,2026-04-02T14:37:29.113159+00:00,,1.0
,AVON,d0cb9c81-b4d9-4a8a-90b1-6d13b476e6cb,2026-04-02T14:38:32.301929+00:00,6f514cc8-4ef0-4718-b9ff-276408a3488a,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,13890.0,,36ba643e-f8bc-4e16-8161-c30594ef6b89,GENERAL,,1105.0,,2026-04-02,DIRECT_PURCHASE,80221,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,12785.0,1105.0,,,,2026-04-02T14:38:32.301929+00:00,48adb922-916e-47ae-a45c-cdd21fe98da5,1105.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-06T23:43:08.254027+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,2240.0,,afadfcb2-77bb-4e0f-876a-5193200233e2,GENERAL,,205.0,,2026-05-06,DIRECT_PURCHASE,55645,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,2035.0,205.0,,,,2026-05-06T23:43:08.254027+00:00,,205.0
,WHIRLPOOL,2d98327c-6b07-4802-b1ad-0199f225b5f2,2026-05-07T21:16:44.764936+00:00,d3cd1712-599f-4b1b-bba4-0750974d3a32,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,16565.0,,3ff26981-3872-4d73-b373-504c3f8dbfba,GENERAL,,2255.0,,2026-05-07,DIRECT_PURCHASE,81176,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,14310.0,2255.0,,,,2026-05-07T21:16:44.764936+00:00,,2255.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-04-02T14:40:33.761943+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,185.0,,313be8d4-c0f7-407d-b911-5a25a5d6c075,GENERAL,,135.0,,2026-04-02,DIRECT_PURCHASE,59985,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,50.0,135.0,,,,2026-04-02T14:40:33.761943+00:00,,135.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-07T23:43:01.956767+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,3305.0,,da420b3b-10b4-4858-b793-0ef55854ef79,GENERAL,,445.0,,2026-05-07,DIRECT_PURCHASE,81194,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,2860.0,445.0,,,,2026-05-07T23:43:01.956767+00:00,,445.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-07T23:46:45.234556+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,20.0,,9594883e-2528-4ef7-ba7a-ced8eeacd68c,GENERAL,,20.0,,2026-05-07,DIRECT_PURCHASE,55674,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,,20.0,,,,2026-05-07T23:46:45.234556+00:00,,20.0
,PUBLICO,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,2026-05-07T23:47:12.968173+00:00,,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,135.0,,3f7b2130-ed35-41c0-8c1f-5e9ed2941e6e,GENERAL,,90.0,,2026-05-07,DIRECT_PURCHASE,55671,,DICSA_CELAYA,26dfeab1-14f0-4f05-9815-ef7dd49197ba,45.0,90.0,,,,2026-05-07T23:47:12.968173+00:00,,90.0
08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,,,2026-05-08T14:42:57.244299+00:00,,IN,,,,876673c5-414d-4f04-baa4-431a27abacdf,COMMERCIAL,,24750.0,COMPACTADORA 1,2026-05-07,TRANSFORMATION,TRANSFORMATION,,DICSA_CELAYA,,,,4269ec0c-5930-4a2e-925c-961aade78c24,,33,2026-05-08T14:42:57.244299+00:00,,24750.0
