allows_direct_entry,allows_sale,allows_transformation_output,classification_kind,code,created_at,family,flow_scope,general_material_id,id,is_active,name,notes,sort_order,tracks_patio_stock,updated_at
True,True,True,classified_stock,PACA_NACIONAL,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,True,PACA NACIONAL,Producto clasificado de carton para patio y venta,410,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PACA_LIMPIA,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,000a5e67-3ceb-40b1-a54a-1165dc7d837e,True,PACA LIMPIA,Producto clasificado de carton para patio y venta,400,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PACA_BASURA,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,15fb03bd-ba75-421a-83d0-546ac9884f1d,True,PACA BASURA,Producto clasificado de carton para patio y venta,370,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PACA_AMERICANA,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,7e43e302-c312-4f9b-bb58-5e630cc38b06,True,PACA AMERICANA,Producto clasificado de carton para patio y venta,360,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,LODOS,2026-03-13T19:39:38.720229+00:00,other,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,bc46d8fe-62a6-42d7-9a2d-e69a44c66886,True,LODOS,Clasificacion comercial heredada; validar si se conserva como subproducto,300,True,2026-03-13T19:39:38.720229+00:00
True,False,False,general_input,CARTON_NACIONAL,2026-03-13T19:39:38.720229+00:00,fiber,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,26dfeab1-14f0-4f05-9815-ef7dd49197ba,True,CARTON NACIONAL,Entrada comercial que suma a CARTON,180,False,2026-03-13T19:39:38.720229+00:00
True,False,False,general_input,CARTON_AMERICANO,2026-03-13T19:39:38.720229+00:00,fiber,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,7ab7ed5b-ad53-4cc8-8c33-feb4bca0b9c3,True,CARTON AMERICANO,Entrada comercial que suma a CARTON,170,False,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,CAPLE,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,7cb5af41-dd0f-4451-9dd6-0fa620ed7ce3,True,CAPLE,Clasificacion comercial de carton,160,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,BASURA,2026-03-13T19:39:38.720229+00:00,fiber,BOTH,88c788cd-06c8-43a9-b429-aba0c440f2f4,a848d775-5d6d-4a8a-afbe-2bfea2b15765,True,BASURA,Salida clasificada de carton,110,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RETORNO_INDUSTRIAL_ESPECIAL,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,9c0800dd-9bb2-46dd-be35-2c3fb689216e,True,RETORNO INDUSTRIAL ESPECIAL,Clasificacion comercial de chatarra,590,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RETORNO_INDUSTRIAL,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,9950e351-6716-4caa-a6e5-dfccf2513529,True,RETORNO INDUSTRIAL,Clasificacion comercial de chatarra,570,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,REBABA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,1f9d57fb-c379-46df-94f7-f93d82d67843,True,REBABA,Clasificacion comercial de chatarra,550,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PLACA_Y_ESTRUCTURA_LARGA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,f05eb20f-5e8c-40ab-88f0-907bdf3a5431,True,PLACA Y ESTRUCTURA LARGA,Clasificacion comercial de chatarra,490,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PLACA_Y_ESTRUCTURA_CORTA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,e0f8cd1b-16e6-4833-a1b1-92a7d6ee85ef,True,PLACA Y ESTRUCTURA CORTA,Clasificacion comercial de chatarra,480,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PESADO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,47193986-3a6a-467e-8616-656ae4cae977,True,PESADO,Clasificacion comercial de chatarra,460,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PACA_DE_SEGUNDA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,a6b451c7-cba9-41d1-9934-5e487e4da757,True,PACA DE SEGUNDA,Clasificacion comercial de chatarra,390,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PACA_DE_PRIMERA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,84e76f01-ae97-4d64-b9c4-9fea70fb28f0,True,PACA DE PRIMERA,Clasificacion comercial de chatarra,380,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,MIXTO_PARA_PROCESAR,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,4ff70896-afe4-4b09-b498-24148fe923c6,True,MIXTO PARA PROCESAR,Clasificacion comercial de chatarra,340,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,MIXTO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,912e86e8-a6b4-4c01-9d9e-fe16c3d7d4d8,True,MIXTO,Clasificacion comercial de chatarra,330,True,2026-03-13T19:39:38.720229+00:00
