code,created_at,id,is_active,name,notes,sort_order,updated_at
CARTON,2026-03-13T19:39:38.720229+00:00,88c788cd-06c8-43a9-b429-aba0c440f2f4,True,CARTON,Base general para compras y aperturas de carton,10,2026-03-13T19:39:38.720229+00:00
CHATARRA,2026-03-13T19:39:38.720229+00:00,4c7a25df-991f-4443-9269-4e853df6fed3,True,CHATARRA,Base general para compras y aperturas de chatarra,20,2026-03-13T19:39:38.720229+00:00
PAPEL,2026-03-13T19:39:38.720229+00:00,97e156d5-3719-4083-885c-e6a25af94015,True,PAPEL,Base general para compras y aperturas de papel,60,2026-04-02T16:54:51.466439+00:00
METAL,2026-03-13T19:39:38.720229+00:00,a3b39add-83a8-4b9e-92db-242b2b852a40,True,METAL,Base general para compras y aperturas de metal,30,2026-04-02T16:54:51.605624+00:00
MADERA_GRANEL,2026-03-23T15:48:35.45895+00:00,ed5a219e-fda7-440a-b5ce-35dec6e45fef,True,MADERA GRANEL,,100,2026-04-02T16:54:51.749835+00:00
MADERA,2026-03-13T19:39:38.720229+00:00,ecc6f380-5996-43ba-87b1-d751882974d8,True,MADERA,Base general para compras y aperturas de madera,50,2026-04-02T16:54:51.894121+00:00
PLASTICO,2026-03-13T19:39:38.720229+00:00,6a15cf8a-9064-49a4-8795-946591fee553,True,PLASTICO,Base general para compras y aperturas de plastico,40,2026-04-15T19:40:18.769498+00:00
TARIMA_DE_PLASTICO,2026-05-13T15:47:49.562342+00:00,ece0924a-d0b6-47f3-85af-426f6dc0a247,True,TARIMA DE PLASTICO,,100,2026-05-13T15:47:49.562342+00:00
GARRAFA_GRANDE,2026-05-14T14:25:52.473069+00:00,dfeddfc5-9d13-4d37-9889-153602b3beb1,True,GARRAFA GRANDE,,100,2026-05-14T14:25:52.473069+00:00
GARRAFA_CHICA,2026-05-14T14:28:18.587033+00:00,67c20d60-07b6-4972-8159-17858a55fd64,True,GARRAFA CHICA,,100,2026-05-14T14:28:18.587033+00:00
POLIFON,2026-06-05T15:41:23.745469+00:00,097a63c8-b7fd-4daa-b7e3-1c3249647607,True,POLIFON,,100,2026-06-05T15:41:23.745469+00:00
PLASTICO_DURO,2026-07-01T16:41:51.079326+00:00,3994294a-695e-4a66-8d1c-9ffc46b7e487,True,PLASTICO DURO,,100,2026-07-01T16:41:51.079326+00:00
REJAS,2026-07-07T18:08:47.344114+00:00,8ea437ed-eaf3-4f10-991a-02aa19a9eb5a,True,REJAS,,100,2026-07-07T18:08:47.344114+00:00
CABLE,2026-07-07T18:08:53.322013+00:00,5f11bcd9-0712-4b59-a088-6cc731043cf4,True,CABLE,,100,2026-07-07T18:08:53.322013+00:00
