id,op_date,inventory_level,flow,general_material_id,commercial_material_id,origin_type,weight_kg,site,counterparty_site_id,counterparty,reference,notes,created_at,updated_at,source_commercial_material_id,gross_kg,tare_kg,net_kg,humidity_percent,trash_kg,total_amount_kg,driver_employee_id,vehicle_id,scale_ticket,movement_reason,transformation_run_id
49e9beef-038a-4f49-8b0a-51c3c34a16ac,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1730.000,DICSA_CELAYA,bb325824-38ba-4775-99b3-aaf90b945978,MONROE,78403,,"2026-03-20 15:42:56.00416+00","2026-03-20 15:42:56.00416+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,14225.000,12495.000,1730.000,,,1730.000,746fffb9-3606-4aee-81d4-d38dfa2d4951,f780587b-f464-4ca0-ab88-ceb8f3013a3c,,,
d4cc5af4-66e6-435a-8c65-b51039a2a936,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,65.000,DICSA_CELAYA,7f08b321-682c-4ae1-be1e-2942f24d4c1d,PATIO,59705,,"2026-03-20 15:54:19.723709+00","2026-03-20 15:54:19.723709+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,115.000,50.000,65.000,,,65.000,,,,,
c96ead3e-72f0-41c7-bd7b-c4ccee8668c8,2026-03-20,GENERAL,OUT,a3b39add-83a8-4b9e-92db-242b2b852a40,,TRANSFORMATION,400.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:10:46.446133+00","2026-03-20 16:10:46.446133+00",,,,400.000,,,,,,,,7fe4c42c-10c7-4311-8971-0b7fb51190d2
21e8a96a-1420-495b-af95-e99c7f0d1f5a,2026-03-20,COMMERCIAL,IN,,f02ca705-fbb1-47bc-9df7-3abb656f83f1,TRANSFORMATION,1650.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:12:02.995908+00","2026-03-20 16:12:02.995908+00",,,,1650.000,,,,,,,,da788253-bb0a-4b77-97ea-d866907791e9
f0e3726f-d020-492d-ad63-a962d58e0af8,2026-03-20,COMMERCIAL,IN,,bdd045b4-d94c-4b16-a42c-2f31462ab673,TRANSFORMATION,1270.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:12:21.896413+00","2026-03-20 16:12:21.896413+00",,,,1270.000,,,,,,,,607cd6d2-b068-4ae0-ae83-3a0b3160da5d
35fd405a-2f0d-4615-97ca-826d71d622e6,2026-03-20,GENERAL,OUT,a3b39add-83a8-4b9e-92db-242b2b852a40,,TRANSFORMATION,685.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:13:00.745772+00","2026-03-20 16:13:00.745772+00",,,,685.000,,,,,,,,39f7edfa-f359-4a00-8af0-5592ee7444ee
9f030a91-1faa-4e70-9cc5-2ca183cdec73,2026-03-20,GENERAL,OUT,a3b39add-83a8-4b9e-92db-242b2b852a40,,TRANSFORMATION,110.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:13:57.163981+00","2026-03-20 16:13:57.163981+00",,,,110.000,,,,,,,,eec1558d-afd2-4613-bcae-3e435549303c
7f54d357-022c-4377-bbe7-556eda14cbdd,2026-03-20,COMMERCIAL,IN,,9950e351-6716-4caa-a6e5-dfccf2513529,TRANSFORMATION,7000.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:17:20.433322+00","2026-03-20 16:17:20.433322+00",,,,7000.000,,,,,,,,7c298b9e-2968-4ca2-9ffd-7729b10e158e
b2fa5c63-cd4b-4724-8d42-666cab406036,2026-03-20,COMMERCIAL,IN,,261d3133-a8aa-4466-9e39-008f8fbe0386,TRANSFORMATION,20000.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:23:51.9933+00","2026-03-20 16:23:51.9933+00",,,,20000.000,,,,,,,,41271eab-23bc-4c44-8b6f-4eced4453c6b
1a736026-e698-46e6-8150-a94231bcd688,2026-03-20,GENERAL,OUT,4c7a25df-991f-4443-9269-4e853df6fed3,,TRANSFORMATION,80.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:18:12.312879+00","2026-03-20 16:24:11.137769+00",,,,80.000,,,,,,,,da501ad8-95f8-4e8f-a68e-682d17692399
1418477e-45b6-4b56-9e21-76765417cf94,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1545.000,DICSA_CELAYA,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,PUBLICO,78413,,"2026-03-20 23:21:30.437372+00","2026-03-20 23:21:30.437372+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,6245.000,4700.000,1545.000,,,1545.000,,,,,
59c87b45-cb0a-410d-87b0-2f4c62252914,2026-03-20,COMMERCIAL,IN,,1f9d57fb-c379-46df-94f7-f93d82d67843,TRANSFORMATION,80.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:18:12.483994+00","2026-03-20 16:24:11.430264+00",,,,80.000,,,,,,,,da501ad8-95f8-4e8f-a68e-682d17692399
935b1b27-7ae1-467f-8a38-514a3f44d133,2026-03-20,GENERAL,OUT,4c7a25df-991f-4443-9269-4e853df6fed3,,TRANSFORMATION,2000.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:20:11.08326+00","2026-03-20 16:24:18.695662+00",,,,2000.000,,,,,,,,ff0b9d7d-4949-4d25-83ad-a9db42f5c965
80c4cd2d-935f-4fe4-bb22-3e70dc890a4f,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,865.000,DICSA_CELAYA,7f08b321-682c-4ae1-be1e-2942f24d4c1d,PATIO,78431,COSIO,"2026-03-20 23:39:36.433115+00","2026-03-20 23:39:36.433115+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,6040.000,5175.000,865.000,,,865.000,9716303d-4015-4514-9bd6-34e6240e1a6d,1477a8c3-24fa-49a6-963c-7bb8a6d3c8ed,,,
a1ae5556-dbd6-4618-a6ae-e42d5a85be90,2026-03-20,COMMERCIAL,IN,,f05eb20f-5e8c-40ab-88f0-907bdf3a5431,TRANSFORMATION,2000.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:20:11.250737+00","2026-03-20 16:24:18.834694+00",,,,2000.000,,,,,,,,ff0b9d7d-4949-4d25-83ad-a9db42f5c965
f4f744fc-f4fe-4635-a93b-27de32e2635b,2026-03-20,GENERAL,OUT,4c7a25df-991f-4443-9269-4e853df6fed3,,TRANSFORMATION,3500.000,DICSA_CELAYA,,,TRANSFORMATION,APERTURA,"2026-03-20 16:21:38.585171+00","2026-03-20 16:24:31.484099+00",,,,3500.000,,,,,,,,721122a6-360a-40e4-9406-472ff2135675
a273b12a-34de-40f6-a0f4-c2fb094abee8,2026-03-20,GENERAL,IN,4c7a25df-991f-4443-9269-4e853df6fed3,,DIRECT_PURCHASE,2160.000,DICSA_CELAYA,bb325824-38ba-4775-99b3-aaf90b945978,MONROE,78412,,"2026-03-20 17:32:01.022436+00","2026-03-20 17:32:01.022436+00",912e86e8-a6b4-4c01-9d9e-fe16c3d7d4d8,14890.000,12730.000,2160.000,,,2160.000,746fffb9-3606-4aee-81d4-d38dfa2d4951,,,,
c5dada7e-689c-453c-9cb8-7fd9451c0367,2026-03-19,COMMERCIAL,IN,,7e43e302-c312-4f9b-bb58-5e630cc38b06,TRANSFORMATION,850.000,DICSA_CELAYA,,,TRANSFORMATION,,"2026-03-20 17:35:59.894669+00","2026-03-31 14:58:15.865134+00",,,,850.000,,,,,,,,a9a38057-27d9-4a8a-b504-162850bb54db
f24762bb-e8df-4a2e-a225-c60b2a820eda,2026-03-19,GENERAL,OUT,88c788cd-06c8-43a9-b429-aba0c440f2f4,,TRANSFORMATION,800.000,DICSA_CELAYA,,,TRANSFORMATION,,"2026-03-20 17:38:20.650375+00","2026-03-20 17:38:20.650375+00",,,,800.000,,,,,,,,68402b1b-ded4-44f9-914c-8d7d36b9b457
40270f4f-001e-4ab5-8949-d53f4a4d90f2,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1745.000,DICSA_CELAYA,d0cb9c81-b4d9-4a8a-90b1-6d13b476e6cb,AVON,78401,,"2026-03-20 17:39:12.918246+00","2026-03-20 17:39:12.918246+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,14355.000,12610.000,1745.000,,,1745.000,6f514cc8-4ef0-4718-b9ff-276408a3488a,48adb922-916e-47ae-a45c-cdd21fe98da5,,,
1e22748c-a195-4829-9f08-a8388d96633c,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,70.000,DICSA_CELAYA,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,PUBLICO,59706,,"2026-03-20 17:43:38.416561+00","2026-03-20 17:43:38.416561+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,125.000,55.000,70.000,,,70.000,,,,,
f49b27a3-54d4-4ec9-91a5-7097e8205832,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1900.000,DICSA_CELAYA,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,PUBLICO,78411,,"2026-03-20 17:51:29.420422+00","2026-03-20 17:51:29.420422+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,14145.000,12245.000,1900.000,,,1900.000,,,,,
064daa11-3f22-468f-a4cc-633ed2587646,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,180.000,DICSA_CELAYA,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,PUBLICO,59711,,"2026-03-20 18:01:43.40938+00","2026-03-20 18:01:43.40938+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,215.000,35.000,180.000,,,180.000,,,,,
fa7e1765-64cf-4802-af02-cc861c0f40c9,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1610.000,DICSA_CELAYA,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,PUBLICO,78424,,"2026-03-20 22:11:51.82296+00","2026-03-20 22:11:51.82296+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,14990.000,13380.000,1610.000,,,1610.000,,,,,
d152085c-ce9b-44ab-b30e-12c329ab3288,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1700.000,DICSA_CELAYA,d0cb9c81-b4d9-4a8a-90b1-6d13b476e6cb,AVON,78417,,"2026-03-20 22:37:57.495121+00","2026-03-20 22:37:57.495121+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,14495.000,12795.000,1700.000,,,1700.000,,,,,
946abe81-000a-47b3-be00-c8e11e47e4bd,2026-03-20,GENERAL,IN,88c788cd-06c8-43a9-b429-aba0c440f2f4,,DIRECT_PURCHASE,1040.000,DICSA_CELAYA,2ed7dacf-1cec-4f77-a718-c048fabfb1dc,PUBLICO,78429,,"2026-03-20 23:09:58.357194+00","2026-03-20 23:09:58.357194+00",26dfeab1-14f0-4f05-9815-ef7dd49197ba,3335.000,2295.000,1040.000,,,1040.000,,,,,
