id,code,name,family,general_material_id,classification_kind,flow_scope,tracks_patio_stock,allows_direct_entry,allows_transformation_output,allows_sale,is_active,sort_order,notes,created_at,updated_at
08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,PACA_NACIONAL,"PACA NACIONAL",fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,410,"Producto clasificado de carton para patio y venta","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
000a5e67-3ceb-40b1-a54a-1165dc7d837e,PACA_LIMPIA,"PACA LIMPIA",fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,400,"Producto clasificado de carton para patio y venta","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
15fb03bd-ba75-421a-83d0-546ac9884f1d,PACA_BASURA,"PACA BASURA",fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,370,"Producto clasificado de carton para patio y venta","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
7e43e302-c312-4f9b-bb58-5e630cc38b06,PACA_AMERICANA,"PACA AMERICANA",fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,360,"Producto clasificado de carton para patio y venta","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
5a6124bd-6f61-47e5-a992-94f9cd79b3af,NACIONAL,NACIONAL,fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,legacy_alias,PRODUCTION_ONLY,f,f,f,f,f,350,"Alias heredado; reemplazar por CARTON_NACIONAL o PACA_NACIONAL segun flujo","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
bc46d8fe-62a6-42d7-9a2d-e69a44c66886,LODOS,LODOS,other,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,300,"Clasificacion comercial heredada; validar si se conserva como subproducto","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
4f1ed22c-9e70-43d3-bd5c-0714db3229cb,LIMPIO,LIMPIO,fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,legacy_alias,PRODUCTION_ONLY,f,f,f,f,f,290,"Alias heredado; reemplazar por PACA_LIMPIA","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
26dfeab1-14f0-4f05-9815-ef7dd49197ba,CARTON_NACIONAL,"CARTON NACIONAL",fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,general_input,IN,f,t,f,f,t,180,"Entrada comercial que suma a CARTON","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
7ab7ed5b-ad53-4cc8-8c33-feb4bca0b9c3,CARTON_AMERICANO,"CARTON AMERICANO",fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,general_input,IN,f,t,f,f,t,170,"Entrada comercial que suma a CARTON","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
7cb5af41-dd0f-4451-9dd6-0fa620ed7ce3,CAPLE,CAPLE,fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,160,"Clasificacion comercial de carton","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
a848d775-5d6d-4a8a-afbe-2bfea2b15765,BASURA,BASURA,fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,classified_stock,BOTH,t,t,t,t,t,110,"Salida clasificada de carton","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
f54c36bb-f8d5-4d19-b3a0-3f2d7309a37b,AMERICANO,AMERICANO,fiber,88c788cd-06c8-43a9-b429-aba0c440f2f4,legacy_alias,PRODUCTION_ONLY,f,f,f,f,f,90,"Alias heredado; reemplazar por CARTON_AMERICANO o PACA_AMERICANA segun flujo","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
9c0800dd-9bb2-46dd-be35-2c3fb689216e,RETORNO_INDUSTRIAL_ESPECIAL,"RETORNO INDUSTRIAL ESPECIAL",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,590,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
9950e351-6716-4caa-a6e5-dfccf2513529,RETORNO_INDUSTRIAL,"RETORNO INDUSTRIAL",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,570,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
1f9d57fb-c379-46df-94f7-f93d82d67843,REBABA,REBABA,metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,550,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
f05eb20f-5e8c-40ab-88f0-907bdf3a5431,PLACA_Y_ESTRUCTURA_LARGA,"PLACA Y ESTRUCTURA LARGA",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,490,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
e0f8cd1b-16e6-4833-a1b1-92a7d6ee85ef,PLACA_Y_ESTRUCTURA_CORTA,"PLACA Y ESTRUCTURA CORTA",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,480,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
47193986-3a6a-467e-8616-656ae4cae977,PESADO,PESADO,metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,460,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
a6b451c7-cba9-41d1-9934-5e487e4da757,PACA_DE_SEGUNDA,"PACA DE SEGUNDA",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,390,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
84e76f01-ae97-4d64-b9c4-9fea70fb28f0,PACA_DE_PRIMERA,"PACA DE PRIMERA",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,380,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
4ff70896-afe4-4b09-b498-24148fe923c6,MIXTO_PARA_PROCESAR,"MIXTO PARA PROCESAR",metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,340,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
912e86e8-a6b4-4c01-9d9e-fe16c3d7d4d8,MIXTO,MIXTO,metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,330,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
eaaa8aa0-69bc-4633-9e82-46ae02473f3f,LAMINA,LAMINA,metal,4c7a25df-991f-4443-9269-4e853df6fed3,classified_stock,BOTH,t,t,t,t,t,260,"Clasificacion comercial de chatarra","2026-03-13 19:39:38.720229+00","2026-03-13 19:39:38.720229+00"
