id,run_id,commercial_material_id,output_weight_kg,notes,created_at,updated_at,output_unit_count
eb7c1744-0ea2-4f35-b073-c9b3e52354b1,443ae9a5-a94d-4e27-b9c4-d8812fb5e6b5,9950e351-6716-4caa-a6e5-dfccf2513529,10125.000,"SALIDA DE RETORNO INDUSTRIAL","2026-03-26 23:29:51.64529+00","2026-03-26 23:29:51.64529+00",
b3aeec56-0b95-478d-bac0-88e40ebd7f7f,c0489ab1-fe47-463e-a751-4e69b8325792,a259e506-5392-44ba-906a-fa445e4d7d1c,1015.000,"SALIDA DE CARTON","2026-03-23 20:32:01.53207+00","2026-03-23 20:32:01.53207+00",
22cb6c7a-1158-44f4-bdf1-39202988596a,48064c1c-4b03-462e-9420-95cafac5f625,a259e506-5392-44ba-906a-fa445e4d7d1c,675.000,"SALIDA DE CARTON","2026-03-23 21:01:46.2924+00","2026-03-23 21:01:46.2924+00",
7a5e2bb4-9757-4d3d-9a0c-3e8ecfcdd437,82020f3c-8980-4e00-9573-e86ffeccd63f,000a5e67-3ceb-40b1-a54a-1165dc7d837e,13600.000,"PRODUCCION 23 DE MARZO","2026-03-24 00:34:48.245497+00","2026-03-24 00:34:48.245497+00",17
cfb126f0-2b45-48c4-a18e-ba3452dfd984,e0bce511-6f9d-40e3-8203-585162cc9e0b,000a5e67-3ceb-40b1-a54a-1165dc7d837e,16800.000,"PRODUCCION 23 DE MARZO NOCHE","2026-03-24 14:18:30.841729+00","2026-03-24 14:18:30.841729+00",21
23b1e179-117d-41d8-a318-5ae4679f5e7a,560a64a4-8c3c-45b9-84b4-e8c79325c1a8,08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,12000.000,"PRODUCCION 23 DE MARZO NOCHE","2026-03-24 14:19:32.963459+00","2026-03-24 14:19:32.963459+00",15
98947329-bcd8-411c-beaf-1c14b3660691,f6093629-6ccd-416e-a5d4-f9b46d6e436f,7e43e302-c312-4f9b-bb58-5e630cc38b06,800.000,"PRODUCCION 23 DE MARZO NOCHE","2026-03-24 14:20:29.126062+00","2026-03-24 14:20:29.126062+00",1
59254374-0be8-4633-92d5-b0bd8dea9448,54593ffb-e697-4816-8c5e-2c7dd56f0289,a259e506-5392-44ba-906a-fa445e4d7d1c,705.000,"CARTON CARTON PARA VENTA","2026-03-24 18:43:33.260853+00","2026-03-24 18:43:33.260853+00",
f070464f-30e2-4ec5-b184-58d1bce58beb,db0379f1-03fd-4028-8bba-3a86ceff400c,08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,28800.000,"PRODUCCION 24 DE MARZO NOCHE","2026-03-25 19:16:26.688548+00","2026-03-25 19:16:26.688548+00",36
252075ec-2958-49fc-b55a-18f577d3b692,8df84d5f-04b6-4dd4-aac0-4b9c9366576a,7e43e302-c312-4f9b-bb58-5e630cc38b06,3200.000,"PRODUCCION 24 DE MARZO NOCHE","2026-03-25 19:16:51.712286+00","2026-03-25 19:16:51.712286+00",4
df1c95dd-2d3f-4cb9-b3b8-8d6999a588a1,486999a3-7316-477c-9f83-20ae29e5bb12,15fb03bd-ba75-421a-83d0-546ac9884f1d,800.000,"PRODUCCION 24 DE MARZO NOCHE","2026-03-25 19:17:13.579092+00","2026-03-25 19:17:13.579092+00",1
