id,op_date,shift,source_general_material_id,input_weight_kg,site,notes,created_at,updated_at,source_mode
5ac3105f-98c6-4d42-a90e-4165036731c4,2026-03-25,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,18700.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-26 14:29:05.224304+00","2026-03-27 22:44:20.75356+00",MIXED
78b341e0-2834-4c6e-99f5-110a87845a15,2026-03-24,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,4250.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-25 20:19:26.001647+00","2026-03-27 22:46:14.551124+00",MIXED
97826b55-4600-4b24-b238-51e68a39d581,2026-03-24,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,16150.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-25 00:09:58.31982+00","2026-03-27 22:49:02.703718+00",MIXED
0d755be0-6769-43d0-a4dd-3297bd23d29a,2026-03-23,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,17250.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-24 00:35:19.662148+00","2026-03-27 22:51:03.679437+00",MIXED
2f62cae9-b10b-4aab-bdae-80458f7c6fb4,2026-03-23,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,8500.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-27 22:52:55.95053+00","2026-03-27 22:52:55.95053+00",MIXED
48d7e8e9-8ebf-48f0-9c6f-2ca967b51a6a,2026-03-23,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,9350.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-24 00:34:14.732173+00","2026-03-27 22:53:59.436543+00",MIXED
1fb02a98-f9e6-44f7-ac23-8c342a5d88fa,2026-03-27,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,8385.000,DICSA_CELAYA,"SALIDA A DEACERO","2026-03-30 19:47:28.032097+00","2026-03-30 19:48:08.204473+00",MIXED
ad0cdb57-1c1c-4f01-9817-3fe4b3ba4ade,2026-03-27,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,415.000,DICSA_CELAYA,"SALIDA ISAIAS CABELLO","2026-03-30 19:48:42.190413+00","2026-03-30 19:48:42.190413+00",MIXED
2ebbfa29-7545-44c3-b8ad-e986aea34181,2026-03-27,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,2400.000,DICSA_CELAYA,"COMPACTADORA 1","2026-03-30 23:24:02.740708+00","2026-03-30 23:24:02.740708+00",MIXED
e05d7888-77a1-4d44-bef8-7f1bb82e503a,2026-03-30,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,12750.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-31 14:31:59.616218+00","2026-03-31 14:31:59.616218+00",MIXED
5df5d870-3087-48c1-8982-7616b6344180,2026-03-20,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,16150.000,DICSA_CELAYA,"COMPACTADORA 2","2026-03-23 17:11:38.633286+00","2026-03-31 14:51:14.561525+00",MIXED
a9a38057-27d9-4a8a-b504-162850bb54db,2026-03-19,NIGHT,88c788cd-06c8-43a9-b429-aba0c440f2f4,850.000,DICSA_CELAYA,,"2026-03-20 17:35:59.629845+00","2026-03-31 14:58:15.704085+00",MIXED
5f4466d4-e7da-496b-ad66-71505810b58e,2026-03-19,NIGHT,88c788cd-06c8-43a9-b429-aba0c440f2f4,10500.000,DICSA_CELAYA,"COMPACTADORA 1","2026-03-20 17:34:00.994269+00","2026-03-31 14:56:02.382204+00",MIXED
db6a4264-e428-4429-915d-e7f477751481,2026-03-19,NIGHT,88c788cd-06c8-43a9-b429-aba0c440f2f4,4250.000,DICSA_CELAYA,,"2026-03-20 17:35:26.979288+00","2026-03-31 14:58:37.864583+00",MIXED
ad246882-f92d-44a2-8d73-eb5bceed2ed3,2026-03-19,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,32300.000,DICSA_CELAYA,APERTURA,"2026-03-20 02:57:53.451652+00","2026-03-31 15:00:06.942774+00",MIXED
5d4de8c3-c0cb-430d-bbef-976638fe5a55,2026-03-19,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,96050.000,DICSA_CELAYA,APERTURA,"2026-03-20 02:57:33.469559+00","2026-03-31 15:00:27.956977+00",MIXED
5020d752-7ebb-4da4-aa08-2e8941602675,2026-03-19,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,10200.000,DICSA_CELAYA,APERTURA,"2026-03-20 02:57:01.800422+00","2026-03-31 15:00:50.823081+00",MIXED
af4c63dd-653d-4f5c-9ec3-f51595dee870,2026-03-25,NIGHT,88c788cd-06c8-43a9-b429-aba0c440f2f4,2400.000,DICSA_CELAYA,"PRODUCCION 25 MARZO NOCHE","2026-03-26 14:33:30.592916+00","2026-03-26 14:33:30.592916+00",MIXED
7fe4c42c-10c7-4311-8971-0b7fb51190d2,2026-03-20,DAY,a3b39add-83a8-4b9e-92db-242b2b852a40,400.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:10:46.446133+00","2026-03-20 16:10:46.446133+00",MIXED
da788253-bb0a-4b77-97ea-d866907791e9,2026-03-20,DAY,a3b39add-83a8-4b9e-92db-242b2b852a40,1650.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:12:02.751435+00","2026-03-20 16:12:02.751435+00",MIXED
607cd6d2-b068-4ae0-ae83-3a0b3160da5d,2026-03-20,DAY,a3b39add-83a8-4b9e-92db-242b2b852a40,1270.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:12:21.723287+00","2026-03-20 16:12:21.723287+00",MIXED
39f7edfa-f359-4a00-8af0-5592ee7444ee,2026-03-20,DAY,a3b39add-83a8-4b9e-92db-242b2b852a40,685.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:13:00.745772+00","2026-03-20 16:13:00.745772+00",MIXED
eec1558d-afd2-4613-bcae-3e435549303c,2026-03-20,DAY,a3b39add-83a8-4b9e-92db-242b2b852a40,110.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:13:57.163981+00","2026-03-20 16:13:57.163981+00",MIXED
7c298b9e-2968-4ca2-9ffd-7729b10e158e,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,7000.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:17:20.227305+00","2026-03-20 16:17:20.227305+00",MIXED
41271eab-23bc-4c44-8b6f-4eced4453c6b,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,20000.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:23:51.809133+00","2026-03-20 16:23:51.809133+00",MIXED
b37db209-493e-495c-9389-a925f49aeada,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,15000.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:17:41.719681+00","2026-03-20 16:24:06.849878+00",MIXED
da501ad8-95f8-4e8f-a68e-682d17692399,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,80.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:18:12.312879+00","2026-03-20 16:24:11.137769+00",MIXED
7a7848f0-bbcf-415b-b447-00a35fa8d34e,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,3000.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:18:49.899806+00","2026-03-20 16:24:14.768074+00",MIXED
ff0b9d7d-4949-4d25-83ad-a9db42f5c965,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,2000.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:20:11.08326+00","2026-03-20 16:24:18.695662+00",MIXED
41a01090-f912-4c1f-b1f3-2ae4c2843fb8,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,18000.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:22:00.226379+00","2026-03-20 16:24:27.854675+00",MIXED
721122a6-360a-40e4-9406-472ff2135675,2026-03-20,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,3500.000,DICSA_CELAYA,APERTURA,"2026-03-20 16:21:38.585171+00","2026-03-20 16:24:31.484099+00",MIXED
68402b1b-ded4-44f9-914c-8d7d36b9b457,2026-03-19,NIGHT,88c788cd-06c8-43a9-b429-aba0c440f2f4,800.000,DICSA_CELAYA,,"2026-03-20 17:38:20.650375+00","2026-03-20 17:38:20.650375+00",MIXED
db922840-6f6d-41da-a60b-a0eb9b8ba81f,2026-03-23,DAY,4c7a25df-991f-4443-9269-4e853df6fed3,3.000,DICSA_CELAYA,"SE EXTRAJO MADERA DEL METAL","2026-03-23 16:05:57.362625+00","2026-03-23 16:05:57.362625+00",DIRECT
c0489ab1-fe47-463e-a751-4e69b8325792,2026-03-23,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,1015.000,DICSA_CELAYA,"SALIDA DE CARTON","2026-03-23 20:32:01.350372+00","2026-03-23 20:32:01.350372+00",MIXED
48064c1c-4b03-462e-9420-95cafac5f625,2026-03-23,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,675.000,DICSA_CELAYA,"SALIDA DE CARTON","2026-03-23 21:01:46.003663+00","2026-03-23 21:01:46.003663+00",MIXED
82020f3c-8980-4e00-9573-e86ffeccd63f,2026-03-23,DAY,88c788cd-06c8-43a9-b429-aba0c440f2f4,13600.000,DICSA_CELAYA,"PRODUCCION 23 DE MARZO","2026-03-24 00:34:47.886641+00","2026-03-24 00:34:47.886641+00",MIXED
e0bce511-6f9d-40e3-8203-585162cc9e0b,2026-03-23,NIGHT,88c788cd-06c8-43a9-b429-aba0c440f2f4,16800.000,DICSA_CELAYA,"PRODUCCION 23 DE MARZO NOCHE","2026-03-24 14:18:30.678059+00","2026-03-24 14:18:30.678059+00",MIXED
