row_number,date,ticket,provider,provider_status,material,material_dicsa,mapped_material,inferred_by,material_status,gross_weight,tare_weight,net_weight,humidity_kg,trash_kg,humidity_percent,trash_percent,payable_weight,recomputed_payable_weight,price,catalog_price,price_status,premium,amount,recomputed_amount,estado_raw,facturado_raw,target_factura_status,target_pago_status,target_coverage_status,referencia,comentario,import_status,blocking_reason
2,2026-05-22,46217,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,18280.000,12785.000,5495.000,0.000,0.000,0.000,0.000,5495.000,5495.000,0.100,0.100,MATCH,0.000,549.500,549.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 18-23 MAYO 2026,IMPORTABLE,
3,2026-03-18,45747,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,13990.000,12795.000,1195.000,0.000,0.000,0.000,0.000,1195.000,1195.000,0.100,0.100,MATCH,0.000,119.500,119.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 16-21 MARZO 2026,IMPORTABLE,
4,2026-03-06,45685,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,15370.000,12785.000,2585.000,0.000,0.000,0.000,0.000,2585.000,2585.000,0.100,0.100,MATCH,0.000,258.500,258.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 02-07 MARZO 2026,IMPORTABLE,
5,2026-03-03,45664,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,16640.000,12785.000,3855.000,0.000,0.000,0.000,0.000,3855.000,3855.000,0.100,0.100,MATCH,0.000,385.500,385.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 02-07 MARZO 2026,IMPORTABLE,
6,2026-02-24,45619,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,15000.000,12785.000,2215.000,0.000,0.000,0.000,0.000,2215.000,2215.000,0.100,0.100,MATCH,0.000,221.500,221.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 23-28 FEBRERO 2026,IMPORTABLE,
7,2026-02-16,45572,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,21720.000,12785.000,8935.000,0.000,0.000,0.000,0.000,8935.000,8935.000,0.100,0.100,MATCH,0.000,893.500,893.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 16-21 FEBRERO 2026,IMPORTABLE,
8,2026-02-11,45548,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,13810.000,12785.000,1025.000,0.000,0.000,0.000,0.000,1025.000,1025.000,0.100,0.100,MATCH,0.000,102.500,102.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 09-14 FEBRERO 2026,IMPORTABLE,
9,2026-02-06,45520,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,14510.000,12785.000,1725.000,0.000,0.000,0.000,0.000,1725.000,1725.000,0.100,0.100,MATCH,0.000,172.500,172.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 03-07 FEBRERO 2026,IMPORTABLE,
10,2026-01-23,45424,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,14750.000,12785.000,1965.000,0.000,0.000,0.000,0.000,1965.000,1965.000,0.100,0.100,MATCH,0.000,196.500,196.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Corte 19-24 Enero 2026,IMPORTABLE,
11,2026-01-02,45296,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,18270.000,12785.000,5485.000,0.000,0.000,0.000,0.000,5485.000,5485.000,0.100,0.100,MATCH,0.000,548.500,548.500,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,CORTE 02-03 ENERO 2026,IMPORTABLE,
12,2025-11-28,45092,AVON,EXACT,VIDRIO,VIDRIO,VIDRIO,SOURCE,EXACT,22250.000,12785.000,9465.000,0.000,0.000,0.000,0.000,9465.000,9465.000,0.100,0.100,MATCH,0.000,946.500,946.500,Pendiente,Facturado,FACTURADO,PENDIENTE_DE_PAGO,SIN_CUBRIR,C-919,Reporte 24-28 noviembre 2025,IMPORTABLE,
13,2025-12-08,45149,AVON,EXACT,TEXTIL,TEXTIL,TEXTIL,SOURCE,EXACT,14060.000,12465.000,1595.000,0.000,0.000,0.000,0.000,1595.000,1595.000,1.800,1.800,MATCH,0.000,2871.000,2871.000,Pendiente,Facturado,FACTURADO,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Corte 08-13 diciembre 2025,IMPORTABLE,
14,2026-05-29,6261,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,240.000,0.000,240.000,0.000,0.000,0.000,0.000,240.000,240.000,13.000,13.000,MATCH,0.000,3120.000,3120.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 25-29 MAYO 2026,IMPORTABLE,
15,2026-05-22,5208,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,223.000,0.000,223.000,0.000,0.000,0.000,0.000,223.000,223.000,13.000,13.000,MATCH,0.000,2899.000,2899.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 18-22 MAYO 2026,IMPORTABLE,
16,2026-05-15,6201,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,189.000,0.000,189.000,0.000,0.000,0.000,0.000,189.000,189.000,13.000,13.000,MATCH,0.000,2457.000,2457.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 11-15 MAYO 2026,IMPORTABLE,
17,2026-05-08,6175,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,160.000,0.000,160.000,0.000,0.000,0.000,0.000,160.000,160.000,13.000,13.000,MATCH,0.000,2080.000,2080.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 04-08 MAYO 2026,IMPORTABLE,
18,2026-04-30,4235,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,184.000,0.000,184.000,0.000,0.000,0.000,0.000,184.000,184.000,13.000,13.000,MATCH,0.000,2392.000,2392.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 27-30 ABRIL 2026,IMPORTABLE,
19,2026-04-24,6119,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,200.000,0.000,200.000,0.000,0.000,0.000,0.000,200.000,200.000,13.000,13.000,MATCH,0.000,2600.000,2600.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 20-25 ABRIL 2026,IMPORTABLE,
20,2026-04-17,5833,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,168.000,0.000,168.000,0.000,0.000,0.000,0.000,168.000,168.000,13.000,13.000,MATCH,0.000,2184.000,2184.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 13-18 ABRIL 2026,IMPORTABLE,
21,2026-04-10,5745,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,116.000,0.000,116.000,0.000,0.000,0.000,0.000,116.000,116.000,13.000,13.000,MATCH,0.000,1508.000,1508.000,Pendiente,No Facturado,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,REPORTE 06-11 ABRIL 2026,IMPORTABLE,
