row_number,date,ticket,provider,provider_status,material,material_dicsa,mapped_material,inferred_by,material_status,gross_weight,tare_weight,net_weight,humidity_kg,trash_kg,humidity_percent,trash_percent,payable_weight,recomputed_payable_weight,price,catalog_price,price_status,premium,amount,recomputed_amount,estado_raw,facturado_raw,target_factura_status,target_pago_status,target_coverage_status,referencia,comentario,import_status,blocking_reason
2,2025-08-22,8775,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,5380.000,5010.000,370.000,0.000,0.000,0.000,0.000,370.000,370.000,0.350,0.350,MATCH,0.000,129.500,129.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
3,2025-08-22,8774,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6740.000,5380.000,1360.000,0.000,0.000,0.000,0.000,1360.000,1360.000,0.350,0.350,MATCH,0.000,476.000,476.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
4,2025-08-22,79002,MONROE,EXACT,BASURA,BASURA,BASURA,SOURCE,EXACT,14670.000,12330.000,2340.000,0.000,0.000,0.000,0.000,2340.000,2340.000,0.000,0.000,MATCH,0.000,0.000,0.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
5,2025-08-22,8779,MONROE,EXACT,CARTON,CARTON,CARTON,SOURCE,EXACT,14220.000,12480.000,1740.000,0.000,0.000,0.000,0.000,1740.000,1740.000,1.400,1.400,MATCH,0.000,2436.000,2436.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
6,2025-08-21,8721,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6330.000,4900.000,1430.000,0.000,0.000,0.000,0.000,1430.000,1430.000,0.350,0.350,MATCH,0.000,500.500,500.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
7,2025-08-21,8720,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6450.000,4900.000,1550.000,0.000,0.000,0.000,0.000,1550.000,1550.000,0.350,0.350,MATCH,0.000,542.500,542.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
8,2025-08-21,23421,MONROE,EXACT,BASURA,BASURA,BASURA,SOURCE,EXACT,5320.000,4890.000,430.000,0.000,0.000,0.000,0.000,430.000,430.000,0.000,0.000,MATCH,0.000,0.000,0.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
9,2025-08-21,8688,MONROE,EXACT,CARTON,CARTON,CARTON,SOURCE,EXACT,14230.000,12540.000,1690.000,0.000,0.000,0.000,0.000,1690.000,1690.000,1.400,1.400,MATCH,0.000,2366.000,2366.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
10,2025-08-21,23424,MONROE,EXACT,REBABA,REBABA,REBABA,SOURCE,EXACT,7450.000,4650.000,2800.000,0.000,0.000,0.000,0.000,2800.000,2800.000,2.030,2.270,DIFFERS,0.000,5684.000,5684.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,REVIEW,
11,2025-08-21,23423,MONROE,EXACT,REBABA,REBABA,REBABA,SOURCE,EXACT,6170.000,5010.000,1160.000,0.000,0.000,0.000,0.000,1160.000,1160.000,2.030,2.270,DIFFERS,0.000,2354.800,2354.800,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,REVIEW,
12,2025-08-21,8726,MONROE,EXACT,TARIMAS,TARIMAS,TARIMAS,SOURCE,EXACT,196.000,0.000,196.000,0.000,0.000,0.000,0.000,196.000,196.000,13.000,13.000,MATCH,0.000,2548.000,2548.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
13,2025-08-20,8679,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,7100.000,4850.000,2250.000,0.000,0.000,0.000,0.000,2250.000,2250.000,0.350,0.350,MATCH,0.000,787.500,787.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
14,2025-08-20,8678,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6390.000,4850.000,1540.000,0.000,0.000,0.000,0.000,1540.000,1540.000,0.350,0.350,MATCH,0.000,539.000,539.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
15,2025-08-20,8677,MONROE,EXACT,CARTON,CARTON,CARTON,SOURCE,EXACT,14060.000,12540.000,1520.000,0.000,0.000,0.000,0.000,1520.000,1520.000,1.400,1.400,MATCH,0.000,2128.000,2128.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
16,2025-08-19,8630,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6550.000,4870.000,1680.000,0.000,0.000,0.000,0.000,1680.000,1680.000,0.350,0.350,MATCH,0.000,588.000,588.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
17,2025-08-19,69983,MONROE,EXACT,BASURA,BASURA,BASURA,SOURCE,EXACT,14855.000,12315.000,2540.000,0.000,0.000,0.000,0.000,2540.000,2540.000,0.000,0.000,MATCH,0.000,0.000,0.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
18,2025-08-19,8601,MONROE,EXACT,CARTON,CARTON,CARTON,SOURCE,EXACT,14300.000,12500.000,1800.000,0.000,0.000,0.000,0.000,1800.000,1800.000,1.400,1.400,MATCH,0.000,2520.000,2520.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
19,2025-08-19,8631,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,5850.000,4870.000,980.000,0.000,0.000,0.000,0.000,980.000,980.000,0.350,0.350,MATCH,0.000,343.000,343.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
20,2025-08-18,8532,MONROE,EXACT,CARTON,CARTON,CARTON,SOURCE,EXACT,14570.000,13060.000,1510.000,0.000,0.000,0.000,0.000,1510.000,1510.000,1.400,1.400,MATCH,0.000,2114.000,2114.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
21,2025-08-18,8531,MONROE,EXACT,CARTON,CARTON,CARTON,SOURCE,EXACT,14040.000,13060.000,980.000,0.000,0.000,0.000,0.000,980.000,980.000,1.400,1.400,MATCH,0.000,1372.000,1372.000,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
22,2025-08-18,8589,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6610.000,4820.000,1790.000,0.000,0.000,0.000,0.000,1790.000,1790.000,0.350,0.350,MATCH,0.000,626.500,626.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
23,2025-08-18,8590,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6410.000,4820.000,1590.000,0.000,0.000,0.000,0.000,1590.000,1590.000,0.350,0.350,MATCH,0.000,556.500,556.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
24,2025-08-18,8588,MONROE,EXACT,LENA,LENA,LENA,SOURCE,EXACT,6710.000,4820.000,1890.000,0.000,0.000,0.000,0.000,1890.000,1890.000,0.350,0.350,MATCH,0.000,661.500,661.500,Pendiente,Pendiente de Facturar,PENDIENTE_DE_FACTURAR,PENDIENTE_DE_PAGO,SIN_CUBRIR,,Reporte 18-22 Agosto 2025,IMPORTABLE,
