row_number,fecha,tipo,referencia,proveedor,provider_id,provider_source,importe,fecha_vencimiento,estado_legacy,comentario,target_company,target_branch,invoice_id,status,review_notes
2,2026-06-09,FACTURA,6326,TOGO,fc_import_togo,DIRECTO,4828.01,2026-06-24,Pendiente,4 CUBETAS DE ACEITE HIDRAULICO,DICSA,CELAYA,fin-invoice-legacy-manual-togo-6326-2026-06-09,IMPORTAR,
3,2026-06-08,FACTURA,8491,OPRESA,fc_import_opresa,DIRECTO,506.92,2026-06-10,Pendiente,DEL 23-31 MAYO 2026,DICSA,CELAYA,fin-invoice-legacy-manual-opresa-8491-2026-06-08,IMPORTAR,
4,2026-06-05,FACTURA,482,GRUPO CONSTRUCTOR PATE,fc_import_grupo_constructor_pate,DIRECTO,12180.00,2026-06-12,Pendiente,ESTUDIO VIAL,DICSA,CELAYA,fin-invoice-legacy-manual-grupo-constructor-pate-482-2026-06-05,IMPORTAR,
5,2026-06-04,FACTURA,10551,CBICENTENARIO,fc_import_cbicentenario,DIRECTO,14627.00,2026-06-19,Pendiente,DEL 21-31 MAYO 2026,DICSA,CELAYA,fin-invoice-legacy-manual-cbicentenario-10551-2026-06-04,IMPORTAR,
6,2026-06-03,FACTURA,6270,TOGO,fc_import_togo,DIRECTO,2960.99,2026-06-17,Pendiente,3 CUBETAS ANTICONGELANTE,DICSA,CELAYA,fin-invoice-legacy-manual-togo-6270-2026-06-03,IMPORTAR,
7,2026-06-02,FACTURA,1428,MELVAR SOLUTIONS,fc_import_melvar_solutions,DIRECTO,7275.02,2026-06-09,Pendiente,SERVICIOS,DICSA,CELAYA,fin-invoice-legacy-manual-melvar-solutions-1428-2026-06-02,IMPORTAR,
8,2026-06-02,FACTURA,6261,TOGO,fc_import_togo,DIRECTO,4828.01,2026-06-24,Pendiente,4 CUBETAS DE ACEITE HIDRAULICO,DICSA,CELAYA,fin-invoice-legacy-manual-togo-6261-2026-06-02,IMPORTAR,
9,2026-06-01,FACTURA,301762933,QUALITAS SEGUROS,fc_import_qualitas_seguros,DIRECTO,4789.00,2026-08-14,Pendiente,SEGURO FORD 350,DICSA,CELAYA,fin-invoice-legacy-manual-qualitas-seguros-301762933-2026-06-01,IMPORTAR,
10,2026-06-01,FACTURA,301763428,QUALITAS SEGUROS,fc_import_qualitas_seguros,DIRECTO,3845.00,2026-08-14,Pendiente,SEGURO FORD F350,DICSA,CELAYA,fin-invoice-legacy-manual-qualitas-seguros-301763428-2026-06-01,IMPORTAR,
11,2026-06-01,FACTURA,301768569,QUALITAS SEGUROS,fc_import_qualitas_seguros,DIRECTO,2620.00,2026-08-14,Pendiente,SEGURO NISSAN ESTACAS,DICSA,CELAYA,fin-invoice-legacy-manual-qualitas-seguros-301768569-2026-06-01,IMPORTAR,
12,2026-06-01,FACTURA,301768218,QUALITAS SEGUROS,fc_import_qualitas_seguros,DIRECTO,2531.00,2026-08-14,Pendiente,SEGURO NISSAN PICK UP,DICSA,CELAYA,fin-invoice-legacy-manual-qualitas-seguros-301768218-2026-06-01,IMPORTAR,
13,2026-06-01,FACTURA,1833,SERINDMONTACARGAS,fc_import_serindmontacargas,DIRECTO,4640.00,2026-06-30,Pendiente,03 MARZO AL 10 MARZO 2026,DICSA,CELAYA,fin-invoice-legacy-manual-serindmontacargas-1833-2026-06-01,IMPORTAR,
14,2026-05-31,FACTURA,8482,OPRESA,fc_import_opresa,DIRECTO,506.92,2026-06-08,Pendiente,25-30 MAYO,DICSA,CELAYA,fin-invoice-legacy-manual-opresa-8482-2026-05-31,IMPORTAR,
15,2026-05-29,FACTURA,4581,SAROLLANTAS,fc_import_sarollantas,DIRECTO,3600.00,2026-07-02,Pendiente,1 LLANTA 7.5 17,DICSA,CELAYA,fin-invoice-legacy-manual-sarollantas-4581-2026-05-29,IMPORTAR,
16,2026-05-28,FACTURA,5CA02,MIGUEL ANGEL MENDOZA BARAJAS,fc_import_miguel_angel_mendoza_barajas,DIRECTO,2320.00,2026-06-12,Pendiente,CONSULTORIA AMBIENTE,DICSA,CELAYA,fin-invoice-legacy-manual-miguel-angel-mendoza-barajas-5ca02-2026-05-28,IMPORTAR,
17,2026-05-27,FACTURA,4619,ACROMA,compras_cp_import_acroma,COMPRAS,46174.00,,Pendiente,CHATARRA,DICSA,CELAYA,fin-invoice-legacy-manual-acroma-4619-2026-05-27,IMPORTAR,
18,2026-05-25,FACTURA,10509,CBICENTENARIO,fc_import_cbicentenario,DIRECTO,16044.01,2026-06-05,Pendiente,DEL 11-20MAYO 2026,DICSA,CELAYA,fin-invoice-legacy-manual-cbicentenario-10509-2026-05-25,IMPORTAR,
19,2026-05-25,FACTURA,8471,OPRESA,fc_import_opresa,DIRECTO,506.92,2026-05-29,Pendiente,18-24 MAYO 2026,DICSA,CELAYA,fin-invoice-legacy-manual-opresa-8471-2026-05-25,IMPORTAR,
20,2026-05-21,FACTURA,6054,TOGO,fc_import_togo,DIRECTO,2960.99,2026-06-11,Pendiente,3 CUBETAS DE ANTICONGELANTE,DICSA,CELAYA,fin-invoice-legacy-manual-togo-6054-2026-05-21,IMPORTAR,
21,2026-05-19,FACTURA,11736,JUAN ARELLANO RANGEL,fc_import_juan_arellano_rangel,DIRECTO,6960.00,2026-06-05,Pendiente,PROTECCION CIVIL,DICSA,CELAYA,fin-invoice-legacy-manual-juan-arellano-rangel-11736-2026-05-19,IMPORTAR,
22,2026-05-19,FACTURA,11737,JUAN ARELLANO RANGEL,fc_import_juan_arellano_rangel,DIRECTO,18560.00,2026-06-05,Pendiente,PROTECCION CIVIL,DICSA,CELAYA,fin-invoice-legacy-manual-juan-arellano-rangel-11737-2026-05-19,IMPORTAR,
23,2026-05-18,FACTURA,4573,SAROLLANTAS,fc_import_sarollantas,DIRECTO,16700.00,2026-06-30,Pendiente,4 LLANTAS,DICSA,CELAYA,fin-invoice-legacy-manual-sarollantas-4573-2026-05-18,IMPORTAR,
24,2026-05-18,FACTURA,1313,RICARDO MORENO ARREGUIN,fc_import_ricardo_moreno_arreguin,DIRECTO,7900.00,2026-06-04,Pendiente,CONTABILIDAD ABRIL 2026,DICSA,CELAYA,fin-invoice-legacy-manual-ricardo-moreno-arreguin-1313-2026-05-18,IMPORTAR,
25,2026-05-18,FACTURA,1314,RICARDO MORENO ARREGUIN,fc_import_ricardo_moreno_arreguin,DIRECTO,2500.00,2026-06-04,Pendiente,CONTABILIDAD ABRIL 2026,DICSA,CELAYA,fin-invoice-legacy-manual-ricardo-moreno-arreguin-1314-2026-05-18,IMPORTAR,
26,2026-05-15,FACTURA,5999,TOGO,fc_import_togo,DIRECTO,23550.78,2026-05-29,Pendiente,2 TAMB ACEITE HIDRAULICO,DICSA,CELAYA,fin-invoice-legacy-manual-togo-5999-2026-05-15,IMPORTAR,
27,2026-05-14,FACTURA,1312,RICARDO MORENO ARREGUIN,fc_import_ricardo_moreno_arreguin,DIRECTO,2500.00,2026-05-29,Pendiente,EDOS FINANCIEROS,DICSA,CELAYA,fin-invoice-legacy-manual-ricardo-moreno-arreguin-1312-2026-05-14,IMPORTAR,
