row_number,fecha,tipo,referencia,proveedor,provider_id,provider_source,importe,fecha_pago,fecha_vencimiento,estado,comentario,date_from,date_to,candidate_ticket_count,candidate_ticket_total,difference,candidate_ticket_ids,candidate_ticket_numbers,match_status,target_company,target_branch,invoice_id
2,2026-05-25,FACTURA,560004567,TENNECO,compras_cp_import_tenneco,COMPRAS,60496.00,2026-06-25,,Pendiente,REPORTE 02-09 ENERO 2026,2026-01-02,2026-01-09,7,60496.00,0.00,ct_legacy_row_1419|ct_legacy_row_1418|ct_legacy_row_1417|ct_legacy_row_1416|ct_legacy_row_1415|ct_legacy_row_1414|ct_legacy_row_1413,14177|14224|24127|14272|14319|14367|14424,EXACT,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-2
3,2026-05-25,FACTURA,560004566,TENNECO,compras_cp_import_tenneco,COMPRAS,111507.20,2026-06-25,,Pendiente,REPORTE 12-16 ENERO 2026,2026-01-12,2026-01-16,8,111507.20,0.00,ct_legacy_row_1411|ct_legacy_row_1412|ct_legacy_row_1409|ct_legacy_row_1410|ct_legacy_row_1408|ct_legacy_row_1406|ct_legacy_row_1407|ct_legacy_row_1405,14513|24159|14582|14610|14650|14713|24198|14776,EXACT,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-3
4,2026-05-25,FACTURA,560004565,TENNECO,compras_cp_import_tenneco,COMPRAS,71592.00,2026-06-25,,Pendiente,REPORTE 19-23 ENERO 2026,2026-01-19,2026-01-23,8,71592.00,0.00,ct_legacy_row_1402|ct_legacy_row_1403|ct_legacy_row_1404|ct_legacy_row_1401|ct_legacy_row_1399|ct_legacy_row_1397|ct_legacy_row_1398|ct_legacy_row_1396,14860|14865|24221|14903|14959|12|24243|66,EXACT,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-4
5,2026-05-25,FACTURA,560004564,TENNECO,compras_cp_import_tenneco,COMPRAS,73902.40,2026-06-25,,Pendiente,REPORTE 26-30 ENER 2026,2026-01-26,2026-01-30,7,73902.40,0.00,ct_legacy_row_1395|ct_legacy_row_1394|ct_legacy_row_1393|ct_legacy_row_1392|ct_legacy_row_1391|ct_legacy_row_1390|ct_legacy_row_1389,161|24260|222|275|24293|331|389,EXACT,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-5
6,2026-05-25,FACTURA,560004563,TENNECO,compras_cp_import_tenneco,COMPRAS,61131.70,2026-06-25,,Pendiente,REPORTE 03-07FEB 2026,2026-02-03,2026-02-07,2,27643.70,-33488.00,ct_legacy_row_1388|ct_legacy_row_1387,24314|483,MISMATCH,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-6
7,2026-05-25,FACTURA,560004562,TENNECO,compras_cp_import_tenneco,COMPRAS,68296.20,2026-06-25,,Pendiente,REPORTE 09-14 FEB 2026,2026-02-09,2026-02-14,0,0.00,-68296.20,,,NO_TICKETS,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-7
8,2026-05-25,FACTURA,560004561,TENNECO,compras_cp_import_tenneco,COMPRAS,84653.80,2026-06-25,,Pendiente,REPORTE 16-21 FEB 2026,2026-02-16,2026-02-21,0,0.00,-84653.80,,,NO_TICKETS,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-8
9,2026-05-25,FACTURA,560004560,TENNECO,compras_cp_import_tenneco,COMPRAS,79727.20,2026-06-25,,Pendiente,REPORTE 23-28 FEB 2026,2026-02-23,2026-02-28,0,0.00,-79727.20,,,NO_TICKETS,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-9
10,2026-05-25,FACTURA,560004559,TENNECO,compras_cp_import_tenneco,COMPRAS,64666.00,2026-06-25,,Pendiente,REPORTE 02-07 MZO 2026,2026-03-02,2026-03-07,0,0.00,-64666.00,,,NO_TICKETS,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-10
11,2026-05-25,FACTURA,560004558,TENNECO,compras_cp_import_tenneco,COMPRAS,56172.00,2026-06-25,,Pendiente,REPORTE 09-14 MZO 2026,2026-03-09,2026-03-14,0,0.00,-56172.00,,,NO_TICKETS,DICSA,CELAYA,fin-invoice-legacy-ticketed-tenneco-11
