Material,Categoria inferida,Heuristica,Revisar
"ACERO","OTROS","fallback default",SI
"ACERO INOXIDABLE","OTROS","fallback default",SI
"ALUMINIO","OTROS","fallback default",SI
"ALUMINIO PERFIL","OTROS","fallback default",SI
"AMERICANO","OTROS","fallback default",SI
"ARBOL DE LEVAS","OTROS","fallback default",SI
"BASURA","OTROS","fallback default",SI
"BOND","PAPEL","PAPEL family keyword",NO
"BOTE ALUMINIO","OTROS","fallback default",SI
"BOTE CHILERO","OTROS","fallback default",SI
"BOTELLAS PET","PLASTICO","PLASTICO/PET keyword",NO
"BRONCES SUCIO","OTROS","fallback default",SI
"CABLE ARNES ELECTRICO","OTROS","fallback default",SI
"CAJON MADERA","MADERA","MADERA/TARIMA keyword",NO
"CAPLE","PAPEL","PAPEL family keyword",NO
"CAPLE CAJILLA","PAPEL","PAPEL family keyword",NO
"CARTON","CARTON","CARTON keyword",NO
"CARTON CORESBA","CARTON","CARTON keyword",NO
"CARTON FORTALEZA","CARTON","CARTON keyword",NO
"CARTON NACIONAL","CARTON","CARTON keyword",NO
"CARTON RECOGIDO","CARTON","CARTON keyword",NO
"CARTON STROKPACK","CARTON","CARTON keyword",NO
"CHAROLA PET","PLASTICO","PLASTICO/PET keyword",NO
"CHATARRA","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA AGROQUIMICOS","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA CARROCERIAS HALCON","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA CORESBA","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA FERREBAZTAN","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA GENERAL","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA MIXTO","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA TRESGUERRAS","CHATARRA","CHATARRA/FIERRO keyword",NO
"CHATARRA VICTOR GARCIA","CHATARRA","CHATARRA/FIERRO keyword",NO
"CINTAS SIERRA","OTROS","fallback default",SI
"COBRE","OTROS","fallback default",SI
"COBRE SUCIO","OTROS","fallback default",SI
"COMPRAS","OTROS","fallback default",SI
"CORRUGADO CARTON","CARTON","CARTON keyword",NO
"CUBETAS DE PLASTICO","PLASTICO","PLASTICO/PET keyword",NO
"DESTRUCCION","OTROS","fallback default",SI
"DESTRUCCION FISCAL","OTROS","fallback default",SI
"ELECTRONICOS","OTROS","fallback default",SI
"FILTROS DE CELULOSA","OTROS","fallback default",SI
"FLECHA","OTROS","fallback default",SI
"FLETE","OTROS","fallback default",SI
"FOLLETO","PAPEL","PAPEL family keyword",NO
"GARRAFA","OTROS","fallback default",SI
"LENA","OTROS","fallback default",SI
"MADERA","MADERA","MADERA/TARIMA keyword",NO
"MADERA TARIMAS 120 X 100","MADERA","MADERA/TARIMA keyword",NO
"MAQUINARIA CHATARRA","CHATARRA","CHATARRA/FIERRO keyword",NO
"MOTORES","OTROS","fallback default",SI
"PACA DE CARTON","CARTON","CARTON keyword",NO
"PACAS DE CARTON","CARTON","CARTON keyword",NO
"PAPEL","PAPEL","PAPEL family keyword",NO
"PEDACERIA MADERA","MADERA","MADERA/TARIMA keyword",NO
"PISTON DE ACERO","OTROS","fallback default",SI
"PLACA","OTROS","fallback default",SI
"PLACA CORTA","OTROS","fallback default",SI
"PLACA LARGA","OTROS","fallback default",SI
"PLACA Y ESTRUCTURA","OTROS","fallback default",SI
"PLASTICO","PLASTICO","PLASTICO/PET keyword",NO
"PLASTICO LAVADO","PLASTICO","PLASTICO/PET keyword",NO
"PLASTICO MIXTO","PLASTICO","PLASTICO/PET keyword",NO
"PLOLIETILENO","OTROS","fallback default",SI
"POLIESTIRENO RIGIDO PLASTICO RIGIDO","PLASTICO","PLASTICO/PET keyword",NO
"POLIETILENO","OTROS","fallback default",SI
"POLIETILENO DE BAJA DENSIDAD POLIFOAM","OTROS","fallback default",SI
"PORRON PLASTICO 200L","PLASTICO","PLASTICO/PET keyword",NO
"REBABA","OTROS","fallback default",SI
"RESIDUOS ELECTRICOS","OTROS","fallback default",SI
"RESIDUOS ELECTRONICOS","OTROS","fallback default",SI
"SABADOS(VIAJE)","OTROS","fallback default",SI
"TAMBOS DE CARTON","CARTON","CARTON keyword",NO
"TAMBOS DE METAL","OTROS","fallback default",SI
"TAMBOS METALICOS","OTROS","fallback default",SI
"TAMBOS PLASTICO","PLASTICO","PLASTICO/PET keyword",NO
"TARIMA","MADERA","MADERA/TARIMA keyword",NO
"TARIMA MADERA","MADERA","MADERA/TARIMA keyword",NO
"TARIMAS","MADERA","MADERA/TARIMA keyword",NO
"TEXTIL","TEXTIL","TEXTIL/TELA/TRAPO/ROPA keyword",NO
"UNICEL","OTROS","fallback default",SI
"VIDRIO","VIDRIO","VIDRIO/CRISTAL keyword",NO
