referencia,proveedor,importe,comentario,date_from,date_to,candidate_ticket_count,candidate_ticket_total,difference,match_status,candidate_ticket_ids,candidate_ticket_numbers
1000000230,MONROE,17979.20,REPORTE 01-04 ABRIL 2026,2026-04-01,2026-04-04,0,0.00,-17979.20,NO_TICKETS,,
1000000231,MONROE,28342.30,06-11 ABRIL 2026,2026-04-06,2026-04-11,0,0.00,-28342.30,NO_TICKETS,,
1000000232,MONROE,31937.10,REPORTE 13-18 ABRIL 2026,2026-04-13,2026-04-18,0,0.00,-31937.10,NO_TICKETS,,
1000000229,MONROE,35629.30,REPORTE 20-25 ABRIL 2026,2026-04-20,2026-04-25,0,0.00,-35629.30,NO_TICKETS,,
1000000233,MONROE,30998.00,REPORTE 27-30 ABRIL 2026,2026-04-27,2026-04-30,0,0.00,-30998.00,NO_TICKETS,,
1000000234,MONROE,29723.50,REPORTE 04-08 MAYO 2026,2026-05-04,2026-05-08,0,0.00,-29723.50,NO_TICKETS,,
1000000228,MONROE,32996.40,REPORTE 11-15 MAYO 2026,2026-05-11,2026-05-15,0,0.00,-32996.40,NO_TICKETS,,
1000000227,MONROE,50087.30,REPORTE 23-31 MZO 2026,2026-03-23,2026-03-31,0,0.00,-50087.30,NO_TICKETS,,
1000000226,MONROE,31746.90,REPORTE 09-14 MZO 2026,2026-03-09,2026-03-14,0,0.00,-31746.90,NO_TICKETS,,
1000000225,MONROE,31260.20,REPORTE 23-28 FEB 2026,2026-02-23,2026-02-28,0,0.00,-31260.20,NO_TICKETS,,
1000000224,MONROE,32239.00,REPORTE 09-14 FEB 2026,2026-02-09,2026-02-14,0,0.00,-32239.00,NO_TICKETS,,
1000000223,MONROE,32693.00,REPORTE 26-31 ENE 2026,2026-01-26,2026-01-31,26,32693.00,0.00,EXACT,ct_legacy_row_1835|ct_legacy_row_566|ct_legacy_row_567|ct_legacy_row_170|ct_legacy_row_169|ct_legacy_row_2043|ct_legacy_row_565|ct_legacy_row_564|ct_legacy_row_1834|ct_legacy_row_563|ct_legacy_row_2042|ct_legacy_row_1833|ct_legacy_row_561|ct_legacy_row_562|ct_legacy_row_167|ct_legacy_row_168|ct_legacy_row_2041|ct_legacy_row_560|ct_legacy_row_1832|ct_legacy_row_1831|ct_legacy_row_31|ct_legacy_row_559|ct_legacy_row_558|ct_legacy_row_2040|ct_legacy_row_1830|ct_legacy_row_557,137|162|163|24259|24261|24262|224|225|228|332|79820|239|281|282|24292|24294|24295|333|343|352|395|398|418|79836|407|444
1000000222,MONROE,29030.50,REPORTE 19-24 ENERO 2026,2026-01-19,2026-01-24,25,29030.50,0.00,EXACT,ct_legacy_row_1841|ct_legacy_row_577|ct_legacy_row_174|ct_legacy_row_173|ct_legacy_row_2047|ct_legacy_row_1840|ct_legacy_row_576|ct_legacy_row_575|ct_legacy_row_2046|ct_legacy_row_1839|ct_legacy_row_574|ct_legacy_row_573|ct_legacy_row_1838|ct_legacy_row_572|ct_legacy_row_571|ct_legacy_row_172|ct_legacy_row_171|ct_legacy_row_2045|ct_legacy_row_1837|ct_legacy_row_570|ct_legacy_row_569|ct_legacy_row_32|ct_legacy_row_2044|ct_legacy_row_568|ct_legacy_row_1836,14837|14867|24223|24225|76592|14874|14906|14907|79787|14923|14962|14963|14978|17|18|24244|24245|24246|27|68|69|77|79809|138|91
10000000221,MONROE,60466.50,REPORTE 12-17 ENERO 2026,2026-01-12,2026-01-17,34,60466.50,0.00,EXACT,ct_legacy_row_1851|ct_legacy_row_589|ct_legacy_row_588|ct_legacy_row_335|ct_legacy_row_1852|ct_legacy_row_336|ct_legacy_row_177|ct_legacy_row_2053|ct_legacy_row_178|ct_legacy_row_1849|ct_legacy_row_587|ct_legacy_row_586|ct_legacy_row_333|ct_legacy_row_334|ct_legacy_row_2051|ct_legacy_row_2052|ct_legacy_row_1847|ct_legacy_row_585|ct_legacy_row_584|ct_legacy_row_1846|ct_legacy_row_583|ct_legacy_row_582|ct_legacy_row_175|ct_legacy_row_2050|ct_legacy_row_176|ct_legacy_row_2049|ct_legacy_row_1843|ct_legacy_row_33|ct_legacy_row_580|ct_legacy_row_581|ct_legacy_row_2048|ct_legacy_row_1842|ct_legacy_row_579|ct_legacy_row_578,14438|14514|14515|14524|14544|14551|24160|24161|24163|14539|14583|14584|14601|14625|79752|79759|14602|14669|14670|14667|14717|14718|24199|24200|24201|79771|14729|14784|14795|14802|79774|14834|14836|14866
10000000220,MONROE,25996.10,REPORTE 03-07 FEB 2026,2026-02-03,2026-02-07,8,7893.90,-18102.20,MISMATCH,ct_legacy_row_166|ct_legacy_row_165|ct_legacy_row_2039|ct_legacy_row_1829|ct_legacy_row_556|ct_legacy_row_2037|ct_legacy_row_555|ct_legacy_row_2038,24315|24316|24318|443|492|493|494|79842
1000000219,MONROE,24468.70,REPORTE 16-21 MARZO 2026,2026-03-16,2026-03-21,0,0.00,-24468.70,NO_TICKETS,,
1000000218,MONROE,37272.70,REPORTE 02-07 MZO 2026,2026-03-02,2026-03-07,0,0.00,-37272.70,NO_TICKETS,,
