referencia,proveedor,importe,comentario,date_from,date_to,candidate_ticket_count,candidate_ticket_total,difference,match_status,candidate_ticket_ids,candidate_ticket_numbers
560004567,TENNECO,60496.00,REPORTE 02-09 ENERO 2026,2026-01-02,2026-01-09,7,60496.00,0.00,EXACT,ct_legacy_row_1419|ct_legacy_row_1418|ct_legacy_row_1417|ct_legacy_row_1416|ct_legacy_row_1415|ct_legacy_row_1414|ct_legacy_row_1413,14177|14224|24127|14272|14319|14367|14424
560004566,TENNECO,111507.20,REPORTE 12-16 ENERO 2026,2026-01-12,2026-01-16,8,111507.20,0.00,EXACT,ct_legacy_row_1411|ct_legacy_row_1412|ct_legacy_row_1409|ct_legacy_row_1410|ct_legacy_row_1408|ct_legacy_row_1406|ct_legacy_row_1407|ct_legacy_row_1405,14513|24159|14582|14610|14650|14713|24198|14776
560004565,TENNECO,71592.00,REPORTE 19-23 ENERO 2026,2026-01-19,2026-01-23,8,71592.00,0.00,EXACT,ct_legacy_row_1402|ct_legacy_row_1403|ct_legacy_row_1404|ct_legacy_row_1401|ct_legacy_row_1399|ct_legacy_row_1397|ct_legacy_row_1398|ct_legacy_row_1396,14860|14865|24221|14903|14959|12|24243|66
560004564,TENNECO,73902.40,REPORTE 26-30 ENER 2026,2026-01-26,2026-01-30,7,73902.40,0.00,EXACT,ct_legacy_row_1395|ct_legacy_row_1394|ct_legacy_row_1393|ct_legacy_row_1392|ct_legacy_row_1391|ct_legacy_row_1390|ct_legacy_row_1389,161|24260|222|275|24293|331|389
560004563,TENNECO,61131.70,REPORTE 03-07FEB 2026,2026-02-03,2026-02-07,2,27643.70,-33488.00,MISMATCH,ct_legacy_row_1388|ct_legacy_row_1387,24314|483
560004562,TENNECO,68296.20,REPORTE 09-14 FEB 2026,2026-02-09,2026-02-14,0,0.00,-68296.20,NO_TICKETS,,
560004561,TENNECO,84653.80,REPORTE 16-21 FEB 2026,2026-02-16,2026-02-21,0,0.00,-84653.80,NO_TICKETS,,
560004560,TENNECO,79727.20,REPORTE 23-28 FEB 2026,2026-02-23,2026-02-28,0,0.00,-79727.20,NO_TICKETS,,
560004559,TENNECO,64666.00,REPORTE 02-07 MZO 2026,2026-03-02,2026-03-07,0,0.00,-64666.00,NO_TICKETS,,
560004558,TENNECO,56172.00,REPORTE 09-14 MZO 2026,2026-03-09,2026-03-14,0,0.00,-56172.00,NO_TICKETS,,
560004557,TENNECO,61008.00,REPORTE 16-21 MZO 2026,2026-03-16,2026-03-21,0,0.00,-61008.00,NO_TICKETS,,
560004556,TENNECO,67022.00,REPORTE 23-31 MZO 2026,2026-03-23,2026-03-31,0,0.00,-67022.00,NO_TICKETS,,
560004534,TENNECO,36019.50,REPORTE 22-26 DIC 2025,2025-12-22,2025-12-26,4,36019.50,0.00,EXACT,ct_legacy_row_1425|ct_legacy_row_1423|ct_legacy_row_1424|ct_legacy_row_1422,13891|13956|5476|14023
560004533,TENNECO,11003.50,REPORTE 29-30 DIC 2025,2025-12-29,2025-12-30,2,11003.50,0.00,EXACT,ct_legacy_row_1421|ct_legacy_row_1420,14082|14130
560004535,TENNECO,119445.50,REPORTE 15-19 DIC 2025,2025-12-15,2025-12-19,7,119445.50,0.00,EXACT,ct_legacy_row_1431|ct_legacy_row_1432|ct_legacy_row_1430|ct_legacy_row_1429|ct_legacy_row_1427|ct_legacy_row_1428|ct_legacy_row_1426,13577|5352|13628|13689|5412|5412|13814
560004536,TENNECO,87172.50,REPORTE 08-11-DIC 2025,2025-12-08,2025-12-11,6,87172.50,0.00,EXACT,ct_legacy_row_1437|ct_legacy_row_1438|ct_legacy_row_1436|ct_legacy_row_1435|ct_legacy_row_1434|ct_legacy_row_1433,13304|5262|13355|13399|13454|24034
